seed,dimension,primal,dual_gap,smallest_dual_gap,iterations,iter_not_converging,fallback_helped,average_iter,std_iter,average_gap,std_gap,time,fw_time
1,10000,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0,0,2.6744945567651635,0.4685816080818105,Inf,Inf,126.562084577,126.538636957
2,10000,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0,0,2.6661427224143353,0.4716079682058406,Inf,Inf,122.875106603,122.87115864
3,10000,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0,0,2.687443909602676,0.46355400132903646,Inf,Inf,121.429624759,121.425283485
4,10000,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0,0,2.667535126081697,0.4711184925779708,Inf,Inf,102.31345109,102.309055533
5,10000,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0,0,2.7050243111831445,0.45605128357781194,Inf,Inf,110.712424389,110.709569188
1,40000,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0,0,2.4689475963620615,0.49905643064844823,Inf,Inf,985.986895037,985.941049603
2,40000,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0,0,2.478287896279194,0.49955054316086434,Inf,Inf,949.173832184,949.139903037
3,40000,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0,0,2.483571191503485,0.49975075489768156,Inf,Inf,996.790379561,996.774620935
4,40000,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0,0,2.49842295561197,0.5000167461874866,Inf,Inf,1114.180437267,1114.144428653
5,40000,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0,0,2.485578128918987,0.49981286023276467,Inf,Inf,1142.139997245,1142.12310906
1,90000,0.327603250631805,9.953186645185463e-8,9.953186645185463e-8,9436,0,0,2.401165871754107,0.49016046307756855,Inf,Inf,2972.649883014,2972.600855069
2,90000,0.3264948124289731,9.949251877135884e-8,9.949251877135884e-8,9154,0,0,2.392767398667104,0.4883924950454881,Inf,Inf,3037.273452798,3037.247094622
3,90000,0.3278237725338361,1.0778636496105304e-7,9.937169056801337e-8,9494,0,0,2.4340636191278704,0.4956594303466941,Inf,Inf,3383.533961316,3383.500000493
4,90000,0.3273190180137521,9.951957201988909e-8,9.951957201988909e-8,8611,0,0,2.399883855981417,0.4899026768750948,Inf,Inf,3005.88865046,3005.86101414
5,90000,0.3279262793663161,1.0814973360352004e-7,9.883157068776849e-8,9970,0,0,2.423370110330993,0.4941177478195755,Inf,Inf,3285.365009799,3285.336818636
1,160000,0.32868325396855014,2.923688169299485e-7,2.9054855906103516e-7,4403,0,0,2.53713377242789,0.4986758085816128,Inf,Inf,3604.042754353,3603.968351102
2,160000,0.3286442161542153,2.840614516438217e-7,2.8321737117250473e-7,4324,0,0,2.4831174838112857,0.4997726932583681,Inf,Inf,3602.622100796,3602.565652799
3,160000,0.3295296585988443,2.862358342448773e-7,2.822999023485012e-7,4226,0,0,2.499763369616659,0.5000591120962022,Inf,Inf,3602.800649447,3602.736275781
4,160000,0.3285383485856514,3.2132007500140086e-7,3.2230434204166825e-7,4395,0,0,2.500341296928328,0.5000567760333341,Inf,Inf,3602.750318864,3602.698798169
5,160000,0.32913802840777096,2.4883306241202385e-7,2.4496052234822957e-7,4397,0,0,2.4830566295201275,0.49976967372397596,Inf,Inf,3602.515523685,3602.465495597
1,250000,0.32930689727211376,3.92784236357812e-7,3.910416836411072e-7,2381,0,0,2.546829063418732,0.49790677784487974,Inf,Inf,3605.219389845,3605.10821046
2,250000,0.329490533226449,3.9768710830131657e-7,3.9988113941479e-7,2270,0,0,2.556387665198238,0.4969197224918947,Inf,Inf,3604.990119107,3604.892676106
3,250000,0.3301611385565951,3.765748421372811e-7,3.739164207978811e-7,2223,0,0,2.56140350877193,0.4963269320881506,Inf,Inf,3605.944514821,3605.840368224
4,250000,0.32961126799095014,3.421348467864786e-7,3.4080874301975136e-7,2376,0,0,2.5597643097643097,0.49651987526380703,Inf,Inf,3605.258961991,3605.149226358
5,250000,0.3297996725099922,4.30018344572871e-7,4.3484936421492315e-7,2209,0,0,2.5631507469443187,0.4961082559593309,Inf,Inf,3603.529097326,3603.433050058
1,360000,0.3297990236976101,4.786830495023126e-7,4.753847093284108e-7,1446,0,0,2.600276625172891,0.4900108672969982,Inf,Inf,3608.016718556,3607.820485475
2,360000,0.3304484891438934,4.984846867233002e-7,4.974334326664047e-7,1410,0,0,2.629787234042553,0.4830328659506634,Inf,Inf,3608.960799236,3608.794252698
3,360000,0.33043932063202264,4.4386626810903954e-7,4.4380687664116736e-7,1477,0,0,2.6066350710900474,0.488662086059315,Inf,Inf,3609.507875917,3609.268200729
4,360000,0.33037964729207475,4.5075448554037986e-7,4.4848526388691426e-7,1501,0,0,2.5956029313790805,0.49093854289316885,Inf,Inf,3607.217212325,3607.053279131
5,360000,0.3301402673105076,4.241025455768016e-7,4.5290183368559833e-7,1533,0,0,2.598825831702544,0.49029609965561605,Inf,Inf,3606.710141614,3606.551894676
1,490000,0.33042315106942743,4.86949783259482e-7,4.821642962406746e-7,971,0,0,2.669412976313079,0.47066695975678974,Inf,Inf,3614.165614428,3613.874200958
2,490000,0.3306004234483236,5.816698326372056e-7,5.7904474321923e-7,948,0,0,2.672995780590717,0.4693664335878844,Inf,Inf,3610.524385055,3610.242703557
3,490000,0.33081651691582037,5.035028631692959e-7,5.074792933422792e-7,1065,0,0,2.647887323943662,0.47785326899653024,Inf,Inf,3612.649337917,3612.296995059
