Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_DualGapSD,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolved,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolvedSD,LS_SECANT_WITH_BACKTRACKING_IterationsAll,LS_SECANT_WITH_BACKTRACKING_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_DualGapSD,LS_BACKTRACKING_AND_SECANT_DualGapNotSolved,LS_BACKTRACKING_AND_SECANT_DualGapNotSolvedSD,LS_BACKTRACKING_AND_SECANT_IterationsAll,LS_BACKTRACKING_AND_SECANT_IterationsSolved,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_DualGapSD,LS_ADAPTIVE_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_AND_SECANT_IterationsAll,LS_ADAPTIVE_AND_SECANT_IterationsSolved,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapSD,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsAll,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsSolved,LS_SECANT_3_Time,LS_SECANT_3_DualGap,LS_SECANT_3_DualGapSD,LS_SECANT_3_DualGapNotSolved,LS_SECANT_3_DualGapNotSolvedSD,LS_SECANT_3_IterationsAll,LS_SECANT_3_IterationsSolved,LS_SECANT_5_Time,LS_SECANT_5_DualGap,LS_SECANT_5_DualGapSD,LS_SECANT_5_DualGapNotSolved,LS_SECANT_5_DualGapNotSolvedSD,LS_SECANT_5_IterationsAll,LS_SECANT_5_IterationsSolved,LS_SECANT_7_Time,LS_SECANT_7_DualGap,LS_SECANT_7_DualGapSD,LS_SECANT_7_DualGapNotSolved,LS_SECANT_7_DualGapNotSolvedSD,LS_SECANT_7_IterationsAll,LS_SECANT_7_IterationsSolved,LS_SECANT_12_Time,LS_SECANT_12_DualGap,LS_SECANT_12_DualGapSD,LS_SECANT_12_DualGapNotSolved,LS_SECANT_12_DualGapNotSolvedSD,LS_SECANT_12_IterationsAll,LS_SECANT_12_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved
10000,5,136.203,9.795972915622471e-8,1.0000346420310726,Inf,Inf,12063,12063,121.694,9.795972915622471e-8,1.0000346420310726,Inf,Inf,12063,12063,200.097,1.0139031733978143e-7,1.000819446596737,Inf,Inf,19437,19437,117.433,9.704695594098092e-8,1.0000190912212297,Inf,Inf,12115,12115,211.706,1.0157621659731452e-7,1.0000320361115336,Inf,Inf,19542,19542,165.375,9.983344738433283e-8,1.0001357460622187,Inf,Inf,14914,14914,137.433,9.795972915622471e-8,1.0000346420310726,Inf,Inf,12063,12063,120.308,9.795972915622471e-8,1.0000346420310726,Inf,Inf,12063,12063,117.463,9.795972915622471e-8,1.0000346420310726,Inf,Inf,12063,12063,116.428,9.795972915622471e-8,1.0000346420310726,Inf,Inf,12063,12063,92.088,1.0425945177845103e-7,1.0012847778375127,Inf,Inf,9644,9644,3561.584,1.5175917253874304e-7,1.0472070213676083,2.03131910126259e-7,1.0019104312868894,359916,376918,139.295,9.730912342001264e-8,1.0000837913077503,Inf,Inf,13567,13567
40000,5,1164.45,9.916410117511921e-8,1.0000061488290122,Inf,Inf,11965,11965,1030.719,9.916410117511921e-8,1.0000061488290122,Inf,Inf,11965,11965,1763.819,9.989710920641994e-8,1.0001758237932943,Inf,Inf,19443,19443,1083.571,1.001398540928554e-7,1.0000251703139806,Inf,Inf,12018,12018,1921.823,9.902504583908478e-8,1.000112660745555,Inf,Inf,19431,19431,1431.54,9.784065428475573e-8,1.0000717673042592,Inf,Inf,15226,15226,1002.025,9.916410117511921e-8,1.0000061488290122,Inf,Inf,11965,11965,1082.573,9.916410117511921e-8,1.0000061488290122,Inf,Inf,11965,11965,1015.023,9.916410117511921e-8,1.0000061488290122,Inf,Inf,11965,11965,1034.904,9.916410117511921e-8,1.0000061488290122,Inf,Inf,11965,11965,1374.68,1.0683860722030054e-7,1.0000147914908353,Inf,Inf,15579,15579,3600.0,7.855546386357885e-7,1.0009405497292867,7.855546386357885e-7,1.0008468304541682,46370,Inf,1224.28,1.0182973416784026e-7,1.0001754647711263,Inf,Inf,13706,13706
90000,5,3338.596,1.028134827000421e-7,1.0004962519306813,Inf,Inf,9333,9333,2919.784,1.028134827000421e-7,1.0004962519306813,Inf,Inf,9333,9333,3600.0,2.4978568664002517e-7,1.0000052027313664,2.4978568664002517e-7,1.0000041942112392,10927,Inf,3165.201,9.935959245513856e-8,1.0000006342297068,Inf,Inf,9477,9477,3600.0,2.6831446586628637e-7,1.0000007160355298,2.6831446586628637e-7,1.0000008616648173,10365,Inf,3595.408,1.760178542670578e-7,1.0761046609115428,2.027768144015416e-7,1.0093264639958806,10484,11243,2855.263,1.028134827000421e-7,1.0004962519306813,Inf,Inf,9333,9333,3111.731,1.028134827000421e-7,1.0004962519306813,Inf,Inf,9333,9333,2864.765,1.028134827000421e-7,1.0004962519306813,Inf,Inf,9333,9333,3132.645,1.028134827000421e-7,1.0004962519306813,Inf,Inf,9333,9333,3600.0,2.3815661789518597e-7,1.0002820617160055,2.3815661789518597e-7,1.0002031781691874,11769,Inf,3600.0,1.518372082839681e-6,1.0008294877436645,1.518372082839681e-6,1.000778399369077,16755,Inf,3519.542,1.5102278322789995e-7,1.0477576969347064,2.003315827100564e-7,1.000289449072323,10796,10930
160000,5,3600.0,2.920082494842237e-7,1.0070585358168407,2.920082494842237e-7,1.0066935157420986,4409,Inf,3600.0,2.821199013249936e-7,1.000257254231484,2.821199013249936e-7,1.0001880427342256,4648,Inf,3600.0,3.962306601231862e-7,1.0000038428061027,3.962306601231862e-7,1.0000030907673854,4588,Inf,3600.0,2.71857256829023e-7,1.0006952517098324,2.71857256829023e-7,1.0006062111616458,4399,Inf,3600.0,4.0884742846174423e-7,1.0000638673756346,4.0884742846174423e-7,1.000055798528054,4360,Inf,3600.0,3.43959976700998e-7,1.0000404101315337,3.43959976700998e-7,1.0000197899928251,4246,Inf,3600.0,2.751998846184378e-7,1.0001767258904741,2.751998846184378e-7,1.0001254806639168,4758,Inf,3600.0,2.8849143797740475e-7,1.003124267523157,2.8849143797740475e-7,1.0029369924724572,4395,Inf,3600.0,2.7943308652888206e-7,1.006518432518989,2.7943308652888206e-7,1.0061316149974824,4756,Inf,3600.0,2.856160836714868e-7,1.0039891263460117,2.856160836714868e-7,1.0038149904868618,4349,Inf,3600.0,3.4217815541855793e-7,1.000200636731046,3.4217815541855793e-7,1.0001884974677786,4855,Inf,3600.0,2.324486163471529e-6,1.0000740554751666,2.324486163471529e-6,1.0000801780554864,8310,Inf,3600.0,2.9924113006685705e-7,1.0001539646767326,2.9924113006685705e-7,1.0001701389492792,4918,Inf
250000,5,3600.0,3.7970525131808446e-7,1.0032035879802,3.7970525131808446e-7,1.0033520545753671,2316,Inf,3600.0,3.5677185932583717e-7,1.003787284752599,3.5677185932583717e-7,1.0039484520116768,2428,Inf,3600.0,5.22304487425241e-7,1.0014192441118648,5.22304487425241e-7,1.001448735466585,2458,Inf,3600.0,3.4570507774237353e-7,1.0020526792012125,3.4570507774237353e-7,1.0021325297759873,2533,Inf,3600.0,5.379555612296283e-7,1.001261145969095,5.379555612296283e-7,1.001298067243479,2348,Inf,3600.0,3.969541999100856e-7,1.000761760875576,3.969541999100856e-7,1.0008192861938976,2610,Inf,3600.0,3.459168476728136e-7,1.0013057322237697,3.459168476728136e-7,1.0012785402756792,2481,Inf,3600.0,3.8189863035821844e-7,1.0001528884870534,3.8189863035821844e-7,1.000143250742962,2377,Inf,3600.0,3.928250709455005e-7,1.000000164955117,3.928250709455005e-7,1.0000000088847352,2202,Inf,3600.0,3.8676416785153475e-7,1.0021380107737825,3.8676416785153475e-7,1.002247245835768,2292,Inf,3600.0,4.235707041944285e-7,1.0006224815731013,4.235707041944285e-7,1.0006403902364867,2581,Inf,3600.0,2.9085768907229344e-6,1.0010270874607787,2.9085768907229344e-6,1.0010627437074884,5252,Inf,3600.0,3.8719076829904773e-7,1.0017914717491943,3.8719076829904773e-7,1.0019044014529195,2586,Inf
360000,5,3600.0,4.76808246486081e-7,1.000797992361033,4.76808246486081e-7,1.000783943321149,1343,Inf,3600.0,4.356241077618654e-7,1.0004284113380921,4.356241077618654e-7,1.0004818309176111,1468,Inf,3600.0,5.684045813053644e-7,1.0002805076696375,5.684045813053644e-7,1.000286327684767,1615,Inf,3600.0,4.147208637249227e-7,1.0016555670375298,4.147208637249227e-7,1.0016214715008993,1618,Inf,3600.0,6.242087149286804e-7,1.0002784240706972,6.242087149286804e-7,1.0002825147059486,1560,Inf,3600.0,4.7500287351437865e-7,1.0011195013901761,4.7500287351437865e-7,1.001098979223888,1679,Inf,3600.0,4.563992320016232e-7,1.0002800288481655,4.563992320016232e-7,1.0002970013769508,1423,Inf,3600.0,4.4831396220147774e-7,1.0005690662883735,4.4831396220147774e-7,1.0006354527974601,1425,Inf,3600.0,4.5408292964635796e-7,1.0001136298990907,4.5408292964635796e-7,1.0001265309092566,1430,Inf,3600.0,4.584295348148479e-7,1.0012613830672403,4.584295348148479e-7,1.0012133569287818,1473,Inf,3600.0,4.7268543234916787e-7,1.0031907484970604,4.7268543234916787e-7,1.0033600835307375,1714,Inf,3600.0,3.3002646689420676e-6,1.0003632954182562,3.3002646689420676e-6,1.0003572972959092,3848,Inf,3600.0,4.4938777174054205e-7,1.0000539564019262,4.4938777174054205e-7,1.0000466320848083,1661,Inf
490000,5,3600.0,5.739157602962355e-7,1.0014126905730258,5.739157602962355e-7,1.0014625900072447,871,Inf,3600.0,5.201201868757436e-7,1.002123709461698,5.201201868757436e-7,1.002311468568319,1003,Inf,3600.0,6.620405893352497e-7,1.0001731605966986,6.620405893352497e-7,1.000205694269023,1122,Inf,3600.0,4.5968989642621613e-7,1.002016423455015,4.5968989642621613e-7,1.0023033599523874,1097,Inf,3600.0,7.154263883260711e-7,1.0003765932574946,7.154263883260711e-7,1.0003963178380701,1088,Inf,3600.0,5.497666551958974e-7,1.0001267236810012,5.497666551958974e-7,1.0001367940257664,1150,Inf,3600.0,5.36660179755233e-7,1.0001593810546634,5.36660179755233e-7,1.000186112411004,948,Inf,3600.0,5.416706240703018e-7,1.0001655886077379,5.416706240703018e-7,1.0001840504654216,958,Inf,3600.0,5.306315494998885e-7,1.0008024283174806,5.306315494998885e-7,1.0008778782285535,979,Inf,3600.0,5.067982216236027e-7,1.000009084347121,5.067982216236027e-7,1.0000186877126296,1004,Inf,3600.0,5.640347569575458e-7,1.0002329401292385,5.640347569575458e-7,1.0002647458818017,1177,Inf,3600.0,3.933207715947693e-6,1.0004063526338338,3.933207715947693e-6,1.0003960562877081,2816,Inf,3600.0,5.557847112800349e-7,1.0004083030563917,5.557847112800349e-7,1.0005017275141221,1036,Inf
640000,5,3600.0,5.761034022427852e-7,1.000005496817803,5.761034022427852e-7,1.0000067346978234,725,Inf,3600.0,5.141675727064372e-7,1.0037494841845567,5.141675727064372e-7,1.0036176004734105,762,Inf,3600.0,7.586807510976638e-7,1.0008779157926986,7.586807510976638e-7,1.000861229788608,842,Inf,3600.0,5.191963671759893e-7,1.0013425377079699,5.191963671759893e-7,1.001275601299906,816,Inf,3600.0,7.594709585039794e-7,1.0016020856592258,7.594709585039794e-7,1.0015440576868995,824,Inf,3600.0,6.168316211639894e-7,1.0000087701237692,6.168316211639894e-7,1.0000083365689887,858,Inf,3600.0,5.160356601804515e-7,1.003407530793328,5.160356601804515e-7,1.0032883053541142,762,Inf,3600.0,5.721181557020018e-7,1.000004578128343,5.721181557020018e-7,1.0000040094362899,725,Inf,3600.0,5.663845264344038e-7,1.0000665603581425,5.663845264344038e-7,1.0000781948041155,733,Inf,3600.0,5.456767129513903e-7,1.0047970963052562,5.456767129513903e-7,1.0045766196258161,749,Inf,3600.0,5.91600178097175e-7,1.0052897651441097,5.91600178097175e-7,1.005015337927849,864,Inf,3600.0,4.5248484310022915e-6,1.0002093494144308,4.5248484310022915e-6,1.000207929072679,2161,Inf,3600.0,6.129868157241803e-7,1.0000326734047311,6.129868157241803e-7,1.0000353355152292,769,Inf
810000,5,3600.0,6.320486712097308e-7,1.000074667158668,6.320486712097308e-7,1.0000631669664684,559,Inf,3600.0,6.352295025131553e-7,1.0050507174195653,6.352295025131553e-7,1.0052832739799973,519,Inf,3600.0,8.208186095420244e-7,1.0004057328651788,8.208186095420244e-7,1.0004152299241291,641,Inf,3600.0,5.460600242676315e-7,1.0000011519606535,5.460600242676315e-7,1.0000015540900524,628,Inf,3600.0,8.173886998552163e-7,1.0004837340668444,8.173886998552163e-7,1.0005173698866858,681,Inf,3600.0,7.113493209901804e-7,1.000415902187488,7.113493209901804e-7,1.0003919802429406,592,Inf,3600.0,5.954203205854054e-7,1.0019897325393088,5.954203205854054e-7,1.002060990828176,586,Inf,3600.0,5.621979609470485e-7,1.0016345638375235,5.621979609470485e-7,1.001495718547981,601,Inf,3600.0,6.070329993426443e-7,1.0002046046332949,6.070329993426443e-7,1.0002231956090482,564,Inf,3600.0,6.090393011789512e-7,1.0006019747266761,6.090393011789512e-7,1.000657675260935,570,Inf,3600.0,6.909201457684644e-7,1.0005992212948562,6.909201457684644e-7,1.0005706902666258,680,Inf,3600.0,5.05405403704525e-6,1.0000759159169523,5.05405403704525e-6,1.0000784912809049,1717,Inf,3600.0,6.777528072944866e-7,1.0002867166631337,6.777528072944866e-7,1.0002720857988887,597,Inf
1000000,5,3600.0,6.528086111410716e-7,1.0000691534861925,6.528086111410716e-7,1.0000632848032043,458,Inf,3600.0,6.33173042908379e-7,1.000220495719385,6.33173042908379e-7,1.000246917973313,465,Inf,3600.0,8.552709176323879e-7,1.0002538063651565,8.552709176323879e-7,1.0002571114214172,531,Inf,3600.0,5.777928847987114e-7,1.0000302449803409,5.777928847987114e-7,1.0000320055084262,512,Inf,3600.0,8.890726766128123e-7,1.0009529032556346,8.890726766128123e-7,1.000980327944875,511,Inf,3600.0,7.405256052273781e-7,1.0005141072481654,7.405256052273781e-7,1.0005541871299535,488,Inf,3600.0,6.032809553404139e-7,1.0025840406767839,6.032809553404139e-7,1.0027352895773847,481,Inf,3600.0,6.222386539891658e-7,1.001106973901141,6.222386539891658e-7,1.0012308804537862,474,Inf,3600.0,6.309116524138703e-7,1.0001389933601572,6.309116524138703e-7,1.00015795811152,464,Inf,3600.0,6.231949261535387e-7,1.0010568589104307,6.231949261535387e-7,1.0011370409360278,469,Inf,3600.0,6.776995417142853e-7,1.0009743301025247,6.776995417142853e-7,1.001105808287083,579,Inf,3600.0,5.558473497917532e-6,1.0001986893996808,5.558473497917532e-6,1.0002004037980126,1399,Inf,3600.0,7.026558921526282e-7,1.001078109151858,7.026558921526282e-7,1.001100012657543,489,Inf
