TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
0,30,340.7,2.17e-04,15046,31.8,355.7,2.37e-04,20814,41.8,3043.1,1.63e-04,> 30M,2800.7,426.4,6.24e-04,32585,45.7
10,20,3600.0,2.17e-04,--,2.4,3600.0,2.37e-04,--,3.3,3600.0,2.04e-04,--,9.4,3600.0,6.24e-04,--,3.6
300,20,3600.0,2.17e-04,--,2.4,3600.0,2.37e-04,--,3.3,3600.0,2.04e-04,--,9.4,3600.0,6.24e-04,--,3.6
900,20,3600.0,2.17e-04,--,2.4,3600.0,2.37e-04,--,3.3,3600.0,2.04e-04,--,9.4,3600.0,6.24e-04,--,3.6
1800,20,3600.0,2.17e-04,--,2.4,3600.0,2.37e-04,--,3.3,3600.0,2.04e-04,--,9.4,3600.0,6.24e-04,--,3.6
2700,20,3600.0,2.17e-04,--,2.4,3600.0,2.37e-04,--,3.3,3600.0,2.04e-04,--,9.4,3600.0,6.24e-04,--,3.6
