TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
0,30,427.6,<1e-7,10624,24.8,614.6,2.47e-07,17506,26.8,2959.9,8.76e-07,731017,71.6,248.5,<1e-7,7283,29.3
10,25,884.2,<1e-7,11494,13.0,1282.5,2.47e-07,19441,13.9,3600.0,8.76e-07,--,30.1,508.4,<1e-7,7956,15.6
300,15,1974.3,<1e-7,10523,5.3,2721.0,2.47e-07,17868,5.7,3600.0,1.24e-06,--,7.7,1188.1,<1e-7,7703,6.5
900,10,2600.9,<1e-7,9802,3.8,3310.2,2.47e-07,16293,4.1,3600.0,1.43e-06,--,5.5,1596.1,<1e-7,7358,4.6
1800,5,3344.8,<1e-7,9333,2.8,3600.0,2.47e-07,--,3.1,3600.0,1.58e-06,--,4.5,2253.3,<1e-7,7722,3.4
2700,0,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN
