TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved
0,50,34.467,1.2152610473492587e-7,1.068574290542963,1.76722442235544e-7,1.027879674695099,135,124,41.053,1.0206417000446777e-7,1.010286051509394,3.796467868966147e-7,1.166829479403229,153,139,751.577,2.2895824265400933e-6,1.0242692215915072,3.1591908076222808e-6,1.04398634573584,489211,317573,192.338,7.489538304872312e-6,1.366920282096574,2.1291685026181284e-6,1.0000132363056262,3582,4252,39.917,1.2201604215889006e-7,1.1594479809101237,4.663036412555499e-7,1.0772565247863826,162,150
10,28,157.856,1.6290740689761662e-7,1.172495573728882,1.76722442235544e-7,1.027879674695099,150,131,197.703,1.357547871894127e-7,1.0363620184102331,3.796467868966147e-7,1.166829479403229,178,154,2003.689,2.3636369290702675e-6,1.0499889898471715,2.7480661324297273e-6,1.055789822821074,6659,8,1149.921,1.6588689795149492e-6,1.4115577884558215,2.247893906348608e-6,1.0002932586230322,2028,2730,204.52,1.208212936365527e-7,1.3010849585895334,4.663036412555499e-7,1.0772565247863826,204,187
300,8,1013.291,2.994989702909123e-7,1.1333712445686548,1.76722442235544e-7,1.027879674695099,153,73,1193.713,2.427921399483779e-7,1.0174836954592055,3.796467868966147e-7,1.166829479403229,182,66,3600.0,3.4387551210990353e-6,1.0160516325988564,3.4387551210990353e-6,1.009750041741348,336,Inf,3600.0,3.268139152634575e-6,1.0435684532244411,3.268139152634575e-6,1.0157549297361081,356,Inf,1244.018,2.3182827191270405e-7,1.1636026617127595,4.663036412555499e-7,1.0772565247863826,172,66
900,4,2549.83,1.85838601618471e-7,1.0790137351357758,1.76722442235544e-7,1.027879674695099,274,154,3283.424,3.6901760780416737e-7,1.170572074112577,3.796467868966147e-7,1.166829479403229,326,181,3600.0,2.4515349341669435e-6,1.000583650015317,2.4515349341669435e-6,1.000264693232477,364,Inf,3600.0,2.4337287574116573e-6,1.0336436107837013,2.4337287574116573e-6,1.0301850231727094,378,Inf,3492.78,3.9160648279690236e-7,1.0852762923549375,4.663036412555499e-7,1.0772565247863826,312,202
1800,3,2942.771,2.1214470424801846e-7,1.0282259327302663,1.76722442235544e-7,1.027879674695099,308,138,3184.209,4.3662741555650086e-7,1.0221052001958553,4.863760916240523e-7,1.0631100033729364,321,181,3600.0,2.4928083328656925e-6,1.0066844401174433,2.4928083328656925e-6,1.0087861679641674,370,Inf,3600.0,2.68348628407189e-6,1.0007141401119664,2.68348628407189e-6,1.000867309391192,383,Inf,3457.754,2.919841264326095e-7,1.107378918857911,3.5421867483620417e-7,1.046468186384107,311,202
2700,2,3600.0,1.76722442235544e-7,1.0342347831697294,1.76722442235544e-7,1.027879674695099,394,Inf,3600.0,4.863760916240523e-7,1.0439783232315805,4.863760916240523e-7,1.0631100033729364,391,Inf,3600.0,2.3100064587833202e-6,1.037535337207883,2.3100064587833202e-6,1.0309641658928819,424,Inf,3600.0,2.6216354367392114e-6,1.0073907314887014,2.6216354367392114e-6,1.0081986759513255,433,Inf,3600.0,3.5421867483620417e-7,1.0605953632977922,3.5421867483620417e-7,1.046468186384107,366,Inf
