seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ONLY_SECANT_LineSearchIter,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_ADAPTIVE_LineSearchIter,LS_MONOTONIC_Time,LS_MONOTONIC_Primal,LS_MONOTONIC_DualGap,LS_MONOTONIC_SmallestDualGap,LS_MONOTONIC_Iterations,LS_AGNOSTIC_Time,LS_AGNOSTIC_Primal,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_SmallestDualGap,LS_AGNOSTIC_Iterations,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_Primal,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_SmallestDualGap,LS_ADAPTIVE_ZERO_Iterations,LS_GOLDEN_RATIO_Time,LS_GOLDEN_RATIO_Primal,LS_GOLDEN_RATIO_DualGap,LS_GOLDEN_RATIO_SmallestDualGap,LS_GOLDEN_RATIO_Iterations,LS_BACKTRACKING_Time,LS_BACKTRACKING_Primal,LS_BACKTRACKING_DualGap,LS_BACKTRACKING_SmallestDualGap,LS_BACKTRACKING_Iterations,minimumTime
1,2500,0.375683399,3.9473989326491833e-13,6.28355443438291e-8,6.290900074971665e-8,6349,0.7013702945345726,0.544521396,6.138464229947976e-13,6.30298605945701e-8,6.304439723691484e-8,9183,0.15202003702493738,204.421817821,2.1778295296348218e-12,6.978223211812134e-8,6.969070450230096e-8,4230399,1458.254073413,2.0367608769665367e-12,5.289098798754761e-8,5.2801978116455885e-8,34646934,0.45650535,4.72149447577314e-13,5.5752867420421684e-8,5.5815572029009725e-8,7733,3600.0,9.671670985041844e-6,0.00041041177456618166,0.000410338910946935,25219288,1.220484795,6.007138833258292e-13,5.653585674564073e-8,5.658434455366625e-8,13973,0.375683399
2,2500,0.408696366,3.602108493458733e-13,4.9795836065340444e-8,4.978472412521999e-8,6814,0.6614323451717055,0.545411325,5.089718629504463e-13,5.704111763814774e-8,6.080935853709956e-8,9241,0.1520398225300292,509.88489425,1.797574290080191e-12,5.914922004146022e-8,5.90668074271823e-8,9286760,1590.666069279,1.771310859952207e-12,5.7173599746473825e-8,5.7090360809975996e-8,37437260,0.465736683,3.889547538847474e-13,5.1756049449203875e-8,5.178763384557243e-8,7759,3600.0,8.397915647808952e-6,0.00040151396655760657,0.0004015140120767649,35954594,1.234589079,4.821602068600812e-13,7.315121846574674e-8,8.11695394488215e-8,14212,0.408696366
3,2500,0.497924445,6.358386447342039e-13,6.663338037125998e-8,6.67477729801837e-8,6556,0.6818181818181817,0.549573061,7.398240768637605e-13,6.85800393950604e-8,7.195301275326652e-8,9081,0.15207576258121352,219.858132463,5.57543539626787e-13,9.99484834767806e-8,9.999395597176519e-8,4546986,1435.017453904,2.4514757065053574e-12,5.933782437528489e-8,5.924009988184752e-8,31625039,0.456256128,5.670865630300039e-13,6.210372508440108e-8,7.339371523463869e-8,7662,3600.0,9.64118831941759e-6,0.0004327857297135796,0.00043278567627841265,19364044,1.171352073,7.567329799712007e-13,8.378274114630635e-8,9.749601691406621e-8,13863,0.456256128
4,2500,0.481968009,8.021276653149505e-13,9.975244842622901e-8,9.979530386476695e-8,6111,0.7368679430535101,0.522323154,1.5703845226343469e-12,9.968249742710639e-8,9.99668818337845e-8,8781,0.15203279808677828,225.802543195,7.52877737400597e-12,9.997970272935415e-8,9.998223301940599e-8,4539986,751.736733952,8.351010378042992e-12,1.0012247305808904e-7,9.999821349881783e-8,17190014,0.437603793,1.4801243560034039e-12,9.95519990642206e-8,9.963891860411032e-8,7341,3600.0,9.364186185174666e-6,0.00041487880423122435,0.0004148790231076711,19457324,1.125840781,1.8177490968887739e-12,9.981999304229731e-8,9.985180310919753e-8,13409,0.437603793
5,2500,0.497686827,4.882038788281837e-13,6.389924509340255e-8,6.443494526308614e-8,6625,0.6757735849056603,0.557503306,6.446526252866299e-13,6.37356070942855e-8,6.378711279564892e-8,9130,0.152026286966046,301.039939,1.2899620421595337e-13,8.19343577844025e-8,8.19343577844025e-8,6087543,1560.541222119,2.0983803555967864e-12,5.207367064917499e-8,5.198487822116317e-8,34062925,0.454493205,4.943301918911217e-13,5.79231076560409e-8,5.800566606099277e-8,7665,3600.0,8.337396319957616e-6,0.000398369481147569,0.0003984411864060601,25254784,1.170554247,6.175392538270019e-13,5.8584018829800634e-8,6.526004137462465e-8,13968,0.454493205
1,10000,5.676679041,1.455919745285899e-12,5.802284171483464e-8,5.802284171483464e-8,23182,0.5704671929597516,7.3206184,1.8350772609538624e-12,6.200403462150599e-8,6.200403462150599e-8,32570,0.15201572047038595,1125.133819651,1.7469562220335275e-12,8.122288048735733e-8,8.122288048735733e-8,5562690,3600.0,2.4851915683248437e-11,3.1105200447162306e-7,3.110275319665921e-7,20041230,6.025626663,1.4557812306884122e-12,5.757057772217232e-8,5.757057772217232e-8,27766,3600.0,6.087362287955105e-5,0.0004159394107532765,0.0004159393970916787,9355502,15.125337201,1.8799906082423038e-12,5.8121449295521354e-8,5.8121449295521354e-8,51380,5.676679041
2,10000,5.948722668,1.2871570625206693e-12,6.095279911823126e-8,6.095279911823126e-8,23889,0.5540857334226388,6.842562726,1.83952190985325e-12,6.56027136269948e-8,6.56027136269948e-8,32563,0.15201768933112217,169.137621898,7.894409672354307e-13,7.24196172901103e-8,7.24196172901103e-8,836822,3600.0,2.4875106977708896e-11,3.6927337717003037e-7,3.6929867636732734e-7,20049240,5.621329571,1.4735247882723925e-12,6.132709668483432e-8,6.132709668483432e-8,27663,3600.0,4.6092724177991837e-5,0.0003638906779711627,0.00036389084257389413,9361749,15.650705547,1.8759632543709394e-12,6.154422999212001e-8,6.15454654916498e-8,51320,5.621329571
3,10000,5.4045407,1.277859745850448e-12,9.800906009430075e-8,9.800906009430075e-8,23900,0.5555044144106449,6.819173344,1.833162574731693e-12,9.35583276805793e-8,9.35583276805793e-8,32509,0.1520241171403962,1881.853448689,8.198610276454479e-12,9.998534537040203e-8,9.999017779270877e-8,8672102,3600.0,2.54396591912389e-11,3.281196228902503e-7,3.281060519096774e-7,19852603,5.5798283,1.4635202072388962e-12,9.805030444427022e-8,9.805030444427022e-8,27672,3600.0,5.999832926143549e-5,0.00041273244765946035,0.0004127324467390014,9250232,15.974269186,1.9295142183042027e-12,9.846087903783948e-8,9.846087903783948e-8,51118,5.4045407
4,10000,5.282104883,1.2794933698322513e-12,4.572018253555077e-8,4.572018253555077e-8,23249,0.5683499655884376,6.816042385,1.825188748682989e-12,5.4179904809580626e-8,5.4179904809580626e-8,32559,0.15200565145279193,1053.528566604,2.331812416010979e-12,9.703062831659914e-8,9.702182775935221e-8,5001449,3600.0,2.50062691991072e-11,3.793155329437953e-7,3.793265921671839e-7,20010371,5.994999489,1.4581828265652135e-12,4.9660532986025244e-8,4.9660532986025244e-8,27753,3600.0,5.978583149376636e-5,0.00041216100801660114,0.0004121610020444593,8874069,15.480939293,1.8818145553160958e-12,5.026304791156737e-8,9.60300025131302e-8,51288,5.282104883
5,10000,5.324550428,1.217375311611216e-12,9.388701159008356e-8,9.388701159008356e-8,23787,0.5583956949466073,6.907499154,1.8419397020107686e-12,9.854491282683268e-8,9.854491282683268e-8,32524,0.15201549672539433,246.011984423,2.092903361873964e-12,9.753870159017177e-8,9.75233149768217e-8,1250832,3600.0,2.4799892776061277e-11,3.348947425974333e-7,3.348766047639041e-7,20099238,5.964161263,1.4592770795414158e-12,9.384118990521693e-8,9.384118990521693e-8,27687,3600.0,4.679026835325055e-5,0.0003660466514050915,0.0003660467000749692,9101633,15.773518355,1.8689911796104357e-12,9.400962974148748e-8,9.400923026761662e-8,51320,5.324550428
1,22500,3600.0,2.6563550355678964e-5,0.00018374845222795088,0.0001837772263581969,9098,1.0,3600.0,3.423866500798176e-5,0.00020866941136682307,0.00020870386781710553,12206,0.15205636572177617,3600.0,2.2830987519080492e-5,0.00017184668044958645,0.00017184936004274357,29753,3600.0,4.888732450955356e-5,0.0002465924661212484,0.0002466230695173779,32437,3600.0,4.074382423602624e-6,8.072707797212852e-5,8.074702146641234e-5,18217,3600.0,0.0001468189351973177,0.0004829934742255044,0.00048300256154037546,4257,3600.0,0.0001935860756891657,0.0005840282161156488,0.0005840309319099312,12083,3600.0
2,22500,3600.0,2.960918326941047e-5,0.00019433984233330515,0.00019436338271260078,8727,1.0,3600.0,4.621259670802122e-5,0.00024383535906406068,0.000243877695590194,10792,0.15205707931801335,3600.0,1.4625307479651894e-5,0.00014135205100772113,0.00014135653864586717,35915,3600.0,4.6782232040127944e-5,0.00024120313252542678,0.00024120313137960018,33161,3600.0,5.605153571406207e-6,9.156139262179533e-5,9.159646201853364e-5,16903,3600.0,0.0001452295389061004,0.0004801196256581212,0.000480128818470305,4302,3600.0,0.00017427499230802463,0.0005433725580572584,0.0005434241158978266,13570,3600.0
3,22500,3600.0,2.90008147468544e-5,0.00019227475479460546,0.0001922987877247187,8779,1.0,3600.0,3.111690981373387e-5,0.00019944644834799397,0.00019945148189641097,12593,0.1520686095449853,3600.0,1.4741960443729764e-5,0.00014104413266232134,0.00014104792816476883,35254,3600.0,2.897372323907316e-5,0.00018883398394576833,0.00018883398576532783,42355,3600.0,8.646537526343977e-6,0.00011027505672966191,0.00011027508587726974,15189,3600.0,0.00014550216110346826,0.00048087124208333755,0.0004808804003436479,4286,3600.0,0.00018960771832594072,0.0005763945072751259,0.0005763969563840449,12386,3600.0
4,22500,3600.0,2.7158805249531443e-5,0.0001863520048975278,0.00018639210034820253,9000,1.0,3600.0,3.5378404346208946e-5,0.0002124838254002325,0.00021248883366562833,12021,0.1520672157058481,3600.0,1.6439333560981455e-5,0.00014774846171232046,0.00014775424624878362,33951,3600.0,3.64001625258556e-5,0.00021152744201683287,0.00021152744413646587,37815,3600.0,8.020330094265952e-6,0.00010646713358811691,0.00010646831002989615,15510,3600.0,0.00014631550472629247,0.0004823846849177593,0.00048239379917171027,4266,3600.0,0.00017247625678516558,0.0005390079910320617,0.0005390194210255806,13707,3600.0
5,22500,3600.0,3.324388725088101e-5,0.00020520861603239658,0.00020523347832188734,8392,1.0,3600.0,4.024809781639177e-5,0.00022646029366096213,0.00022651378045334775,11463,0.1520544360115153,3600.0,1.4013046479369718e-5,0.00013766333755566555,0.00013767011404719825,35899,3600.0,4.299057118956574e-5,0.00023014659226662702,0.00023014659144173465,34752,3600.0,0.00010587978100603066,0.0003908375898415599,0.00039092663987007884,5817,3600.0,0.0001465213717458635,0.0004822577682423862,0.00048226686555779777,4269,3600.0,0.00017261649137553903,0.0005389711861507982,0.0005389799686903275,13699,3600.0
1,40000,3600.0,5.045605479492474e-5,0.00019870233977982595,0.00019872574540286594,9505,1.0,3600.0,6.921456932892375e-5,0.00024196976530039635,0.00024197568854905316,11718,0.15207373271889402,3600.0,2.8841575693991167e-5,0.00014466952302124363,0.00014467470860621946,35107,3600.0,6.633923227871744e-5,0.00023430442752023326,0.00023430459680501498,34719,3600.0,3.472008616316327e-5,0.00015970362622635915,0.00015971855662999263,13704,3600.0,0.0002037675248457886,0.0005262449887921343,0.0005263796286077854,3901,3600.0,0.00022796697478952736,0.0005756358141211115,0.0005756479697585857,13830,3600.0
2,40000,3600.0,5.633726925113124e-5,0.00021306636175420942,0.00021309250853989708,8921,1.0,3600.0,6.786694537227369e-5,0.00023963445955811673,0.0002396599346862385,11823,0.1520764611350757,3600.0,2.9689278134831508e-5,0.00014729952730591967,0.00014730114044729276,34882,3600.0,6.684664000442893e-5,0.0002361147496982346,0.00023614205353224843,34470,3600.0,2.3851217217827132e-5,0.00013064821452843042,0.00013065951134141462,16129,3600.0,0.0002013065361883263,0.0005218557183854481,0.0005219909464164065,3934,3600.0,0.0002213725421889344,0.0005628289968637779,0.0005628815555919853,14464,3600.0
3,40000,3600.0,6.128796551752929e-5,0.00022425406835616433,0.0002242883761300864,8515,1.0,3600.0,7.278982029902415e-5,0.00025028306324283953,0.00025032125135579443,11347,0.15202256102934697,3600.0,3.911360347894067e-5,0.00017157944242081742,0.00017158504267510144,29534,3600.0,5.979804814049973e-5,0.00021955747419323296,0.00021955753445394068,37014,3600.0,2.4854213144206155e-5,0.00013355348883513729,0.0001335551152189585,15865,3600.0,0.00020037816677373,0.0005198238917926262,0.0005199571873032785,3950,3600.0,0.0002317102093899731,0.0005838652364183673,0.0005838646526821162,13475,3600.0
4,40000,3600.0,4.9218243591047366e-5,0.000195626108083788,0.0001956516587566693,9629,1.0,3600.0,7.149524600576125e-5,0.00024711040134866295,0.00024714304216675545,11483,0.1520508577897762,3600.0,3.4897710615112586e-5,0.00016060105161293288,0.0001606063420946422,32391,3600.0,7.170929272310539e-5,0.00024652275408670177,0.00024655675491134886,32954,3600.0,2.272328889880342e-5,0.00012690042881349144,0.00012690883989546086,16509,3600.0,0.000202364139120014,0.0005236080523987246,0.0005237443228379606,3920,3600.0,0.00023068071242895132,0.0005815651582818944,0.0005815654497598425,13549,3600.0
5,40000,3600.0,5.7839320778971e-5,0.00021597415463137792,0.00021599934758210115,8811,1.0,3600.0,6.645110779195322e-5,0.00023581586763824318,0.0002358212996197452,11995,0.1520633597332222,3600.0,3.0731249957927655e-5,0.00014972550381910148,0.00014972896441833554,34958,3600.0,6.241249217985729e-5,0.00022528881925259998,0.00022531197623493657,36093,3600.0,3.0364902605299207e-5,0.00014830511781613255,0.00014830665183768389,14576,3600.0,0.00020305270226499773,0.0005250017674633447,0.0005250120474075253,3910,3600.0,0.00023070102697040433,0.0005815149035511159,0.0005816100564645028,13626,3600.0
1,62500,3600.0,7.873011216812243e-5,0.00022950546772759674,0.00022953275489036494,8551,1.0,3600.0,8.627261608843521e-5,0.0002454757830939961,0.00024550625975946973,11827,0.15202502747949606,3600.0,4.0352997258961875e-5,0.0001459349275759794,0.0001459408064792923,31682,3600.0,6.611158916854231e-5,0.00020258338218371468,0.0002026020436541141,34549,3600.0,3.776630035877748e-5,0.00013988194875013484,0.00013989167830450475,16246,3600.0,0.000230416048268773,0.0005402064078478492,0.0005403463243623738,3811,3600.0,0.0003350620573337611,0.000751061079049568,0.0007513206788569093,11590,3600.0
2,62500,3600.0,8.435923873939255e-5,0.00024174712377798385,0.00024177738689112074,8132,1.0,3600.0,7.861375357522e-5,0.00022972226080674224,0.000229725676057566,12609,0.15203426124197003,3600.0,4.0552027489213875e-5,0.00014671900644360906,0.0001467224823826454,31336,3600.0,6.735909430366393e-5,0.00020560003616607871,0.00020559764078964136,33508,3600.0,4.053002741457163e-5,0.00014653976247431684,0.0001465509341985929,15567,3600.0,0.0002296298586377053,0.0005390650597569089,0.0005392048728472828,3820,3600.0,0.00027040551979660445,0.0006212828950604548,0.0006212840310737139,12692,3600.0
3,62500,3600.0,8.024969161528252e-5,0.00023286724168030968,0.00023289828779633634,8434,1.0,3600.0,8.683551386892223e-5,0.0002467663421933066,0.0002467975637569659,11767,0.1520353531061443,3600.0,4.175783543522394e-5,0.0001491766637293162,0.0001491803680587562,29799,3600.0,6.543302884252775e-5,0.00020126162455918665,0.00020127890045518242,33262,3600.0,4.4083940399869193e-5,0.00015432994455637035,0.0001543430956129005,14842,3600.0,0.00022971554445385496,0.0005388487213231351,0.0005389887483666258,3822,3600.0,0.00026845393424882586,0.0006169599237773545,0.0006169594578065448,12879,3600.0
4,62500,3600.0,7.848758349953665e-5,0.0002289326288929426,0.00022896024799558108,8571,1.0,3600.0,9.328396115313318e-5,0.0002600891513670358,0.0002601163403337363,11178,0.1520844516013598,3600.0,4.742978013388804e-5,0.00016173695979730538,0.00016174433704928832,27454,3600.0,6.644029439546202e-5,0.0002031165496080867,0.00020311934935768488,33040,3600.0,3.671312808386595e-5,0.0001373386868418365,0.00013734893483579935,16520,3600.0,0.0002289829674149763,0.0005373415007986294,0.0005374805499022924,3833,3600.0,0.00026243274464749346,0.0006047591761116732,0.0006047592077319872,13308,3600.0
