TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_DualGapSD,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolved,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolvedSD,LS_SECANT_WITH_BACKTRACKING_IterationsAll,LS_SECANT_WITH_BACKTRACKING_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_DualGapSD,LS_BACKTRACKING_AND_SECANT_DualGapNotSolved,LS_BACKTRACKING_AND_SECANT_DualGapNotSolvedSD,LS_BACKTRACKING_AND_SECANT_IterationsAll,LS_BACKTRACKING_AND_SECANT_IterationsSolved,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_DualGapSD,LS_ADAPTIVE_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_AND_SECANT_IterationsAll,LS_ADAPTIVE_AND_SECANT_IterationsSolved,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapSD,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsAll,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsSolved,LS_SECANT_3_Time,LS_SECANT_3_DualGap,LS_SECANT_3_DualGapSD,LS_SECANT_3_DualGapNotSolved,LS_SECANT_3_DualGapNotSolvedSD,LS_SECANT_3_IterationsAll,LS_SECANT_3_IterationsSolved,LS_SECANT_5_Time,LS_SECANT_5_DualGap,LS_SECANT_5_DualGapSD,LS_SECANT_5_DualGapNotSolved,LS_SECANT_5_DualGapNotSolvedSD,LS_SECANT_5_IterationsAll,LS_SECANT_5_IterationsSolved,LS_SECANT_7_Time,LS_SECANT_7_DualGap,LS_SECANT_7_DualGapSD,LS_SECANT_7_DualGapNotSolved,LS_SECANT_7_DualGapNotSolvedSD,LS_SECANT_7_IterationsAll,LS_SECANT_7_IterationsSolved,LS_SECANT_12_Time,LS_SECANT_12_DualGap,LS_SECANT_12_DualGapSD,LS_SECANT_12_DualGapNotSolved,LS_SECANT_12_DualGapNotSolvedSD,LS_SECANT_12_IterationsAll,LS_SECANT_12_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved
0,13,0.545,0.0,1.0,Inf,Inf,28,28,0.54,0.0,1.0,Inf,Inf,28,28,4.639,0.0,1.01,0.0,1.009,70223,66,111.578,0.0,1.04,0.0,1.026,160631,29,10.02,0.0,1.0,0.0,1.0,111530,65,4.639,0.0,1.0,0.0,1.174,94059,61,0.516,0.0,1.0,Inf,Inf,28,28,0.538,0.0,1.0,Inf,Inf,28,28,0.545,0.0,1.0,Inf,Inf,28,28,0.543,0.0,1.0,Inf,Inf,28,28,0.513,0.0,1.05,Inf,Inf,52,52,2083.818,0.0,1.04,0.0,1.087,1493808,1263,4.2,0.0,1.04,0.0,1.048,158570,58
10,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
300,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
900,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1800,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
2700,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
