TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
0,50,199.2,8.08e-05,828,4.0,252.0,2.90e-07,1496,5.7,3542.2,3.83e-04,> 9M,319.2,158.8,<1e-7,748,4.7
10,38,727.0,8.08e-05,973,1.3,1147.8,2.90e-07,1756,1.4,3600.0,4.43e-04,--,5.2,561.3,<1e-7,881,1.6
300,19,1558.1,8.08e-05,1171,0.7,2044.8,2.90e-07,2063,0.9,3600.0,7.76e-04,--,2.0,1113.0,<1e-7,1070,1.0
900,8,2577.7,8.08e-05,1286,0.5,2867.0,2.90e-07,2239,0.8,3600.0,1.03e-03,--,1.1,1657.6,<1e-7,1176,0.7
1800,1,3462.6,<1e-7,1371,0.4,3241.4,<1e-7,2315,0.7,3600.0,1.59e-03,--,0.6,2396.4,<1e-7,1225,0.5
2700,0,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN
