Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved,LS_GOLDEN_RATIO_Time,LS_GOLDEN_RATIO_DualGap,LS_GOLDEN_RATIO_DualGapSD,LS_GOLDEN_RATIO_DualGapNotSolved,LS_GOLDEN_RATIO_DualGapNotSolvedSD,LS_GOLDEN_RATIO_IterationsAll,LS_GOLDEN_RATIO_IterationsSolved,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGap,LS_BACKTRACKING_DualGapSD,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_DualGapNotSolvedSD,LS_BACKTRACKING_IterationsAll,LS_BACKTRACKING_IterationsSolved
100,5,0.2,1.0432078090261143e-7,1.0012776487175945,Inf,Inf,306,306,0.3,1.1101201047303277e-7,1.0000895178512257,Inf,Inf,653,653,0.1,1.1121086851417772e-7,1.0035655496762956,Inf,Inf,222,222,3061.6,1.0071947276202309e-7,1.0000245306592859,0.0,NaN,7725741,9657176,0.1,1.1633998941995571e-7,1.0066290124061352,Inf,Inf,489,489,3600.0,8.282611138210605e-5,1.0057237402585941,8.282611138210605e-5,1.0056151589633304,1477246,Inf,0.1,9.513842513797499e-8,1.0043116914217374,Inf,Inf,219,219
200,5,1.1,1.0751692403054847e-7,1.0058149086643102,Inf,Inf,459,459,1.4,1.0598404887041113e-7,1.0013906191341166,Inf,Inf,915,915,0.5,1.004539591509257e-7,1.0153835334203847,Inf,Inf,386,386,3600.0,2.3442646623905716e-7,1.000890204852408,2.3442646623905716e-7,1.0008632471304395,3415792,Inf,0.7,1.0105826953044073e-7,1.0062353092279446,Inf,Inf,668,668,3600.0,7.415043368541596e-5,1.0122845806758511,7.415043368541596e-5,1.013409334674772,484073,Inf,0.8,1.0224636604050374e-7,1.0100355440962925,Inf,Inf,376,376
300,5,128.0,9.632274955428954e-8,1.0000768136071978,Inf,Inf,534,534,64.9,1.0437853892319993e-7,1.0024046957567683,0.0,NaN,871,1088,42.2,8.362816972251608e-8,1.0006734743635337,Inf,Inf,447,447,3600.0,1.7950671082012093e-5,1.0029580767706912,1.7950671082012093e-5,1.0027379197175332,55350,Inf,72.2,1.0848863074564008e-7,1.005602884820276,Inf,Inf,783,783,3600.0,8.07863289105093e-5,1.0002848656680299,8.07863289105093e-5,1.0001461225078587,2559,Inf,105.3,8.401083695375178e-8,1.0117104231984138,Inf,Inf,451,451
400,5,439.7,9.717642757145484e-8,1.0001154895093125,0.0,NaN,624,780,327.2,1.0336938305322008e-7,1.0016964034630627,Inf,Inf,1423,1423,112.6,9.292172897801265e-8,1.0001165892737798,Inf,Inf,629,629,3600.0,4.675482751959059e-5,1.0125047490277777,4.675482751959059e-5,1.0107109489361703,32353,Inf,204.7,9.417510749010205e-8,1.0002113435539577,Inf,Inf,1076,1076,3600.0,0.00010733339209401116,1.0203028610389189,0.00010733339209401116,1.0192038475616032,1733,Inf,241.3,9.255220412285325e-8,1.0000712165011023,Inf,Inf,648,648
500,5,376.1,9.994196692453272e-8,1.0000161582342317,Inf,Inf,812,812,775.4,1.0621796997511979e-7,1.0000028089262245,Inf,Inf,1570,1570,161.6,9.568464154341427e-8,1.0001989306660795,Inf,Inf,692,692,3600.0,7.57066432772735e-5,1.0000030001621465,7.57066432772735e-5,1.0000724595822763,24418,Inf,304.1,1.0195047828176484e-7,1.0015990253643974,Inf,Inf,1142,1142,3600.0,8.708082697950204e-5,1.0039966233797184,8.708082697950204e-5,1.0037162500888728,1491,Inf,384.8,8.984167032544121e-8,1.0006609987369206,Inf,Inf,727,727
600,5,371.0,1.0804381789242257e-7,1.000832082215707,Inf,Inf,876,876,1354.2,9.644805509800847e-8,1.0000963255343296,0.0,NaN,1268,1585,162.1,9.781607834824513e-8,1.0005777953256534,Inf,Inf,788,788,3600.0,8.026414241868451e-5,1.091574840881521,8.026414241868451e-5,1.0970583397213296,24801,Inf,278.7,1.0431491004325721e-7,1.0007782209753977,Inf,Inf,1172,1172,3600.0,0.00012860482507703885,1.036088882592449,0.00012860482507703885,1.037951447936723,1413,Inf,415.2,1.0315450826858807e-7,1.0073408000355506,Inf,Inf,815,815
700,5,728.5,1.0402842676171531e-7,1.0004305007726966,Inf,Inf,1029,1029,1523.1,1.0025103880373365e-7,1.0000172823359539,0.0,NaN,1120,1866,321.5,9.931356714787398e-8,1.0002901810451692,Inf,Inf,879,879,3600.0,0.0004735406726470437,1.116006834041421,0.0004735406726470437,1.1081745641192613,10991,Inf,449.7,1.0325459576243645e-7,1.0014591200885699,Inf,Inf,1348,1348,3600.0,0.000141635821711672,1.0005554461070814,0.000141635821711672,1.0005729355353872,1279,Inf,589.7,9.937167932960733e-8,1.0009202173684038,Inf,Inf,912,912
800,5,1066.7,9.771981823725184e-8,1.0001116440300093,Inf,Inf,1096,1096,1268.0,9.939382916712702e-8,1.0000001444242235,Inf,Inf,1986,1986,489.0,9.95468598663507e-8,1.0000881714068002,Inf,Inf,943,943,3600.0,0.0006061593364792284,1.1343073783987274,0.0006061593364792284,1.1312592850332674,8958,Inf,643.6,9.71290279316861e-8,1.0011030751907735,Inf,Inf,1488,1488,3600.0,0.00016573591307689206,1.008241030790917,0.00016573591307689206,1.0084737501123968,987,Inf,884.8,1.0233647596002982e-7,1.0007832142521964,Inf,Inf,998,998
900,5,1881.2,9.433133718594888e-8,1.0009712881008654,0.0,NaN,982,1228,2282.9,9.959139357640368e-8,1.0005723772624917,Inf,Inf,2177,2177,1265.6,9.847682536090474e-8,1.0001926977431836,Inf,Inf,1083,1083,3600.0,0.0009848348429990494,1.0700873034094471,0.0009848348429990494,1.0696254181771454,4787,Inf,1235.6,9.919752930187542e-8,1.000299965985664,Inf,Inf,1590,1590,3600.0,0.0003080651203999363,1.4945828264181629,0.0003080651203999363,1.5039871286418596,635,Inf,1294.8,9.506669806924606e-8,1.0001115812597894,Inf,Inf,1131,1131
1000,5,3413.0,1.623570129893892e-5,24.188232256513214,8.078668682687251e-5,1.0,1193,1334,3389.9,2.1513946824036623e-7,1.050894925031628,2.9012750002443966e-7,1.0239975171744418,2257,2212,1654.0,1.0120341720210035e-7,1.0016425032652416,Inf,Inf,1175,1175,3600.0,0.0010862485171891922,1.0233729802347664,0.0010862485171891922,1.0232681527929126,3631,Inf,2020.9,9.80670467054523e-8,1.0000028585948357,Inf,Inf,1708,1708,3600.0,0.0012428645639954716,1.0789010831581136,0.0012428645639954716,1.0782295061666243,438,Inf,1978.3,1.0396956051650363e-7,1.00100054251277,Inf,Inf,1199,1199
