TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved
0,30,204.609,1.33E-01,1071,600.552,1.39E-01,2547,3600.0,7.53E+05,
10,20,2364.095,1.33E-01,1704,3339.332,1.39E-01,4274,3600.0,4.75E+06,
300,20,2364.095,1.33E-01,1704,3339.332,1.39E-01,4274,3600.0,4.75E+06,
900,15,3386.62,1.33E-01,1912,3600.0,1.39E-01,,3600.0,5.16E+06,
1800,14,3600.0,1.33E-01,,3600.0,1.39E-01,,3600.0,5.27E+06,
2700,14,3600.0,1.33E-01,,3600.0,1.39E-01,,3600.0,5.27E+06,
