Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
100,5,0.6,<1e-7,887,1478.3,3600.0,6.00e-07,--,512.2,3600.0,1.85e-05,--,2613.6,3600.0,1.90e-06,--,970.6
200,5,3.2,<1e-7,1413,441.6,3600.0,6.93e-07,--,315.1,3600.0,6.78e-05,--,1141.4,3600.0,1.59e-06,--,267.2
300,5,420.5,<1e-7,1971,4.7,3600.0,7.15e-07,--,43.9,3600.0,7.32e-03,--,16.2,3600.0,1.64e-06,--,1.9
400,5,775.3,<1e-7,2315,3.0,3600.0,8.87e-07,--,3.7,3600.0,2.16e-02,--,9.7,3600.0,1.82e-06,--,1.2
500,5,1284.7,<1e-7,2901,2.3,3600.0,4.47e-05,--,2.0,3600.0,7.51e-02,--,5.4,3600.0,1.56e-06,--,1.1
600,5,2209.3,2.53e-04,3012,1.1,3600.0,1.04e-06,--,2.7,3600.0,3.59e-02,--,7.7,3600.0,1.30e-06,--,1.0
700,5,2059.5,<1e-7,2976,1.4,3600.0,3.34e-03,--,1.5,3600.0,1.76e-01,--,3.2,3600.0,1.28e-06,--,0.9
800,5,3565.6,2.45e-06,3240,0.7,3600.0,2.15e-01,--,0.6,3600.0,2.55e-01,--,3.0,3600.0,1.71e-06,--,0.8
900,5,3600.0,8.13e-03,--,0.5,3600.0,4.53e-01,--,0.6,3600.0,3.50e-01,--,1.8,3600.0,1.41e-05,--,0.6
1000,5,3600.0,9.41e-02,--,0.3,3600.0,3.81e-01,--,0.4,3600.0,4.63e-01,--,1.3,3600.0,4.75e-04,--,0.5
