TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_DualGapSD,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolved,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolvedSD,LS_SECANT_WITH_BACKTRACKING_IterationsAll,LS_SECANT_WITH_BACKTRACKING_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_DualGapSD,LS_BACKTRACKING_AND_SECANT_DualGapNotSolved,LS_BACKTRACKING_AND_SECANT_DualGapNotSolvedSD,LS_BACKTRACKING_AND_SECANT_IterationsAll,LS_BACKTRACKING_AND_SECANT_IterationsSolved,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_DualGapSD,LS_ADAPTIVE_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_AND_SECANT_IterationsAll,LS_ADAPTIVE_AND_SECANT_IterationsSolved,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapSD,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsAll,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsSolved,LS_SECANT_3_Time,LS_SECANT_3_DualGap,LS_SECANT_3_DualGapSD,LS_SECANT_3_DualGapNotSolved,LS_SECANT_3_DualGapNotSolvedSD,LS_SECANT_3_IterationsAll,LS_SECANT_3_IterationsSolved,LS_SECANT_5_Time,LS_SECANT_5_DualGap,LS_SECANT_5_DualGapSD,LS_SECANT_5_DualGapNotSolved,LS_SECANT_5_DualGapNotSolvedSD,LS_SECANT_5_IterationsAll,LS_SECANT_5_IterationsSolved,LS_SECANT_7_Time,LS_SECANT_7_DualGap,LS_SECANT_7_DualGapSD,LS_SECANT_7_DualGapNotSolved,LS_SECANT_7_DualGapNotSolvedSD,LS_SECANT_7_IterationsAll,LS_SECANT_7_IterationsSolved,LS_SECANT_12_Time,LS_SECANT_12_DualGap,LS_SECANT_12_DualGapSD,LS_SECANT_12_DualGapNotSolved,LS_SECANT_12_DualGapNotSolvedSD,LS_SECANT_12_IterationsAll,LS_SECANT_12_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved
0,50,3228.717,1.390645457805493,1.5435728846057022,8.631729754799034,1.272501457001531,546,2901,3229.9,1.5178268085498983,1.630262018176742,9.513197189526274,1.3269470378129986,537,2901,3600.0,1.250735831319898,1.2695424952581873,1.250735831319898,1.3161160805996446,1675,Inf,3600.0,3.663659093521561,1.525329165111453,3.663659093521561,1.5849154052303005,488,Inf,3600.0,14.054514393825551,1.8118697377815467,14.054514393825551,1.9064635118631494,928,Inf,3600.0,11.477482040124832,1.7277118427888363,11.477482040124832,1.8034677079819317,1018,Inf,3196.623,2.0215763287974524,1.0685982119535333,12.922309234060378,1.0038567579306412,739,2788,3230.735,1.3291793068477051,1.175549243436298,8.213935756649768,1.0500801477564452,616,2841,3239.923,2.1200731813187317,1.1419241649665988,13.824093902791859,1.03052062673044,669,2780,3229.711,1.3080787270362064,1.2536795765545166,8.049675989393052,1.0932934219989852,592,2919,3600.0,0.1797818021170447,1.3441580771936423,0.1797818021170447,1.472098561450436,2237,Inf,3600.0,2.5499465495088973,1.081209124076731,2.5499465495088973,1.0812112045839746,4153,Inf,3600.0,0.8853998315618994,1.4590312541669475,0.8853998315618994,1.515821688172695,1836,Inf
10,50,3228.717,1.390645457805493,1.5435728846057022,8.631729754799034,1.272501457001531,546,2901,3229.9,1.5178268085498983,1.630262018176742,9.513197189526274,1.3269470378129986,537,2901,3600.0,1.250735831319898,1.2695424952581873,1.250735831319898,1.3161160805996446,1675,Inf,3600.0,3.663659093521561,1.525329165111453,3.663659093521561,1.5849154052303005,488,Inf,3600.0,14.054514393825551,1.8118697377815467,14.054514393825551,1.9064635118631494,928,Inf,3600.0,11.477482040124832,1.7277118427888363,11.477482040124832,1.8034677079819317,1018,Inf,3196.623,2.0215763287974524,1.0685982119535333,12.922309234060378,1.0038567579306412,739,2788,3230.735,1.3291793068477051,1.175549243436298,8.213935756649768,1.0500801477564452,616,2841,3239.923,2.1200731813187317,1.1419241649665988,13.824093902791859,1.03052062673044,669,2780,3229.711,1.3080787270362064,1.2536795765545166,8.049675989393052,1.0932934219989852,592,2919,3600.0,0.1797818021170447,1.3441580771936423,0.1797818021170447,1.472098561450436,2237,Inf,3600.0,2.5499465495088973,1.081209124076731,2.5499465495088973,1.0812112045839746,4153,Inf,3600.0,0.8853998315618994,1.4590312541669475,0.8853998315618994,1.515821688172695,1836,Inf
300,50,3228.717,1.390645457805493,1.5435728846057022,8.631729754799034,1.272501457001531,546,2901,3229.9,1.5178268085498983,1.630262018176742,9.513197189526274,1.3269470378129986,537,2901,3600.0,1.250735831319898,1.2695424952581873,1.250735831319898,1.3161160805996446,1675,Inf,3600.0,3.663659093521561,1.525329165111453,3.663659093521561,1.5849154052303005,488,Inf,3600.0,14.054514393825551,1.8118697377815467,14.054514393825551,1.9064635118631494,928,Inf,3600.0,11.477482040124832,1.7277118427888363,11.477482040124832,1.8034677079819317,1018,Inf,3196.623,2.0215763287974524,1.0685982119535333,12.922309234060378,1.0038567579306412,739,2788,3230.735,1.3291793068477051,1.175549243436298,8.213935756649768,1.0500801477564452,616,2841,3239.923,2.1200731813187317,1.1419241649665988,13.824093902791859,1.03052062673044,669,2780,3229.711,1.3080787270362064,1.2536795765545166,8.049675989393052,1.0932934219989852,592,2919,3600.0,0.1797818021170447,1.3441580771936423,0.1797818021170447,1.472098561450436,2237,Inf,3600.0,2.5499465495088973,1.081209124076731,2.5499465495088973,1.0812112045839746,4153,Inf,3600.0,0.8853998315618994,1.4590312541669475,0.8853998315618994,1.515821688172695,1836,Inf
900,48,3404.169,2.7566048785791297,1.430791898873804,8.631729754799034,1.272501457001531,476,3346,3400.947,3.0197006535279414,1.5044101583135823,9.513197189526274,1.3269470378129986,467,3346,3600.0,2.2618517419004447,1.1999859357206795,2.2618517419004447,1.2238690509159547,1301,Inf,3600.0,6.738139582975655,1.4094396953230692,6.738139582975655,1.4414745871749834,390,Inf,3600.0,28.02259694984197,1.6342667772568102,28.02259694984197,1.6800565921703423,713,Inf,3600.0,22.130773319464808,1.567621142108418,22.130773319464808,1.6076208297889338,757,Inf,3386.759,4.070728932373232,1.0355003629895252,12.922309234060378,1.0038567579306412,684,3267,3395.417,2.617243457352263,1.1201221134350758,8.213935756649768,1.0500801477564452,551,3285,3392.409,4.286493265800807,1.0911382171832447,13.824093902791859,1.03052062673044,605,3176,3401.02,2.585474450966456,1.184744774554389,8.049675989393052,1.0932934219989852,521,3334,3600.0,0.3085565976653394,1.2752057281849982,0.3085565976653394,1.36350256802437,1713,Inf,3600.0,3.0167533466154914,1.0704538257610263,3.0167533466154914,1.0704551884774987,3116,Inf,3600.0,1.5432663451990014,1.3657938893730799,1.5432663451990014,1.3968051022835082,1467,Inf
1800,45,3600.0,8.631729754799034,1.2724941419651286,8.631729754799034,1.272501457001531,284,Inf,3600.0,9.513197189526274,1.3269402772253154,9.513197189526274,1.3269470378129986,275,Inf,3600.0,6.044583274692066,1.1062471219977679,6.044583274692066,1.1062561756373257,681,Inf,3600.0,18.79587774651448,1.2491692621741601,18.79587774651448,1.2491703803546994,198,Inf,3600.0,86.19783127566231,1.394249112918235,86.19783127566231,1.3942500300698564,358,Inf,3600.0,66.63757908274346,1.3493276695557557,66.63757908274346,1.349329715176529,393,Inf,3600.0,12.922309234060378,1.0038386531890575,12.922309234060378,1.0038567579306412,512,Inf,3600.0,8.213935756649768,1.0500770707972793,8.213935756649768,1.0500801477564452,369,Inf,3600.0,13.824093902791859,1.0305153827097546,13.824093902791859,1.03052062673044,434,Inf,3600.0,8.049675989393052,1.0932823702567593,8.049675989393052,1.0932934219989852,333,Inf,3600.0,0.7397509094439803,1.1760469668597604,0.7397509094439803,1.2188605721024073,879,Inf,3600.0,4.01864893023515,1.0527543865261682,4.01864893023515,1.0527545742075572,1518,Inf,3600.0,3.9122719777920287,1.2331665865687198,3.9122719777920287,1.2338943785505074,778,Inf
2700,45,3600.0,8.631729754799034,1.2724941419651286,8.631729754799034,1.272501457001531,284,Inf,3600.0,9.513197189526274,1.3269402772253154,9.513197189526274,1.3269470378129986,275,Inf,3600.0,6.044583274692066,1.1062471219977679,6.044583274692066,1.1062561756373257,681,Inf,3600.0,18.79587774651448,1.2491692621741601,18.79587774651448,1.2491703803546994,198,Inf,3600.0,86.19783127566231,1.394249112918235,86.19783127566231,1.3942500300698564,358,Inf,3600.0,66.63757908274346,1.3493276695557557,66.63757908274346,1.349329715176529,393,Inf,3600.0,12.922309234060378,1.0038386531890575,12.922309234060378,1.0038567579306412,512,Inf,3600.0,8.213935756649768,1.0500770707972793,8.213935756649768,1.0500801477564452,369,Inf,3600.0,13.824093902791859,1.0305153827097546,13.824093902791859,1.03052062673044,434,Inf,3600.0,8.049675989393052,1.0932823702567593,8.049675989393052,1.0932934219989852,333,Inf,3600.0,0.7397509094439803,1.1760469668597604,0.7397509094439803,1.2188605721024073,879,Inf,3600.0,4.01864893023515,1.0527543865261682,4.01864893023515,1.0527545742075572,1518,Inf,3600.0,3.9122719777920287,1.2331665865687198,3.9122719777920287,1.2338943785505074,778,Inf
