Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
800,4,0.5,<1e-7,26,52.0,0.6,<1e-7,64,106.7,608.4,7.19e-07,1263,2872.9,0.2,<1e-7,37,185.0
1200,4,0.5,<1e-7,23,46.0,11.1,1.63e-07,58,8339.3,3600.0,1.41e-06,--,445.7,3600.0,3.98e-07,--,88.9
1500,5,0.6,<1e-7,34,56.7,7.6,1.25e-07,74,14273.2,3600.0,3.45e-06,--,333.9,758.8,3.28e-07,53,193.9
