Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_MONOTONIC_Time,LS_MONOTONIC_DualGap,LS_MONOTONIC_DualGapSD,LS_MONOTONIC_DualGapNotSolved,LS_MONOTONIC_DualGapNotSolvedSD,LS_MONOTONIC_IterationsAll,LS_MONOTONIC_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_DualGapSD,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_DualGapNotSolvedSD,LS_AGNOSTIC_IterationsAll,LS_AGNOSTIC_IterationsSolved,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_DualGapSD,LS_ADAPTIVE_ZERO_DualGapNotSolved,LS_ADAPTIVE_ZERO_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_IterationsAll,LS_ADAPTIVE_ZERO_IterationsSolved
10000,5,0.356,5.1836798891497913e-8,1.2070427853594992,Inf,Inf,454,454,0.389,5.5929269664701264e-8,1.1351793061007889,Inf,Inf,435,435,687.21,6.479825754057023e-7,1.1317087132684418,3.151252277606497e-6,1.3779093751597487,4807140,2222950,2.506,3.7621616454897404e-7,3.908192575470038,Inf,Inf,17323,17323,0.356,3.875112805207415e-8,1.0318961052916296,Inf,Inf,417,417
40000,5,26.33,1.0348819098565651e-7,1.1008880968412782,Inf,Inf,400,400,28.229,6.748631577960868e-8,1.3030310947121666,Inf,Inf,385,385,1033.776,1.449246742902104e-6,1.0230166217231844,3.1363052202427108e-6,1.0425513247201406,37025,17,76.634,8.594450385077522e-7,2.0008819401004105,Inf,Inf,4094,4094,16.216,1.5205941213129975e-7,1.2573242456340543,Inf,Inf,357,357
90000,5,15.712,7.300136288928509e-8,2.5206956454758176,Inf,Inf,158,158,21.378,5.1829204636878805e-8,1.5620430922048536,Inf,Inf,300,300,210.356,5.484098708071978e-7,114.42240384148322,3.50277037151916e-6,1.025292123502795,26533,12,67.442,1.0447735068538693e-7,4.5459182141414285,Inf,Inf,4442,4442,28.566,5.315670488484878e-8,1.3836564430810356,Inf,Inf,449,449
160000,5,11.239,9.693025867640082e-8,1.1403224692992984,Inf,Inf,42,42,10.676,7.158528225787256e-8,1.0582566604454082,Inf,Inf,46,46,208.864,8.117535140543004e-7,1.128011774636088,4.824146885196981e-6,1.017367164886572,7779,10,145.225,4.3894673804630827e-7,3.2566608509717505,3.482891374525371e-7,1.0,4073,1788,15.812,1.366509964697503e-7,1.0005105268536296,Inf,Inf,58,58
250000,5,7.713,1.3515484370991722e-8,2.1267142096943807,Inf,Inf,6,6,9.302,2.7204075076901976e-8,6.111693187098423,Inf,Inf,9,9,300.725,2.2961162068778623e-7,1338.8008238663351,1.6114892177332856e-6,1.0000863301126628,5649,10,25.299,1.6471042055609738e-6,6.201491056200891e6,Inf,Inf,103,103,7.293,1.3698247420846478e-8,2.230039954191753,Inf,Inf,8,8
360000,5,17.412,6.581808627858766e-8,1.0000356110374171,Inf,Inf,22,22,18.824,7.74910106641161e-8,1.009511178081931,Inf,Inf,25,25,965.483,8.04269207813823e-7,1.002623410289253,1.7353245736456198e-6,1.0108056524936564,6797,6,523.921,3.1063293834724866e-7,2.0052246716765962,1.727168757616474e-7,1.002729051040909,4745,2462,17.079,5.174652120312875e-8,1.0005220611774435,Inf,Inf,26,26
490000,5,312.846,3.6084680012835506e-8,14.58389379061119,1.7203090857262913e-7,1.027879674695099,163,10,357.487,5.1785335155619204e-8,76.41627010126827,4.5785145731130386e-7,1.0631100033729364,164,13,586.61,5.803627660001302e-7,4.738760256783756,2.605068643084851e-6,1.0540417978113694,272,4,616.884,3.7033987699053483e-7,15.020723048449529,1.8231229432774669e-6,1.0805568660346083,275,5,355.268,4.8171284113555453e-8,34.12182817970914,3.388455325100803e-7,1.046468186384107,153,12
640000,5,78.727,6.382036830649303e-8,1.000453774277419,Inf,Inf,9,9,100.183,9.04389301274681e-8,1.0049734192398547,Inf,Inf,11,11,829.33,2.478009608793917e-7,1.0000396451336715,7.93902257224967e-7,1.0574262134854293,253,12,594.137,1.3154678007786427e-7,1.0150547220855923,5.227024535954148e-7,1.0968646859353897,194,35,100.636,3.739462348099274e-8,1.1531682706142354,Inf,Inf,10,10
810000,5,525.289,1.9132221669749747e-7,1.0185091000949782,Inf,Inf,54,54,587.426,9.088937063054187e-8,1.1567444737223531,Inf,Inf,66,66,3600.0,3.2480986652239386e-6,1.0148573710410058,3.2480986652239386e-6,1.0033126021090155,310,Inf,3600.0,2.4795362263127932e-6,1.0088647963527713,2.4795362263127932e-6,1.002961360015778,339,Inf,612.238,5.9131975198766265e-8,1.1281113005375214,Inf,Inf,66,66
1000000,5,195.7,5.834129321178061e-8,1.3588332493523367,Inf,Inf,43,43,373.116,8.264374381403994e-8,1.074654998836707,1.6618821175370252e-7,1.0,86,22,3600.0,1.8759007141982813e-6,1.270827625204372,1.8759007141982813e-6,1.222759808487102,349,Inf,1464.336,1.2172762366608256e-6,12.272642177241066,2.0151362997918336e-6,1.0936635978116216,229,47,339.587,8.508301884724602e-8,7.6662649593658045,6.904736113751836e-7,1.0,75,16
