Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved
10000,5,4.992,<1E-07,23601,7.317,<1E-07,32545,3600.0,3.31E-07,
40000,5,3600.0,2.11E-04,,3600.0,2.46E-04,,3600.0,2.17E-04,
90000,5,3600.0,5.12E-04,,3600.0,2.49E-04,,3600.0,1.57E-04,
160000,5,3600.0,2.34E-04,,3600.0,2.46E-04,,3600.0,1.35E-04,
250000,5,3600.0,2.99E-04,,3600.0,2.77E-04,,3600.0,2.47E-04,
360000,5,3600.0,3.53E-04,,3600.0,5.07E-04,,3600.0,3.62E-04,
490000,5,3600.0,5.45E-04,,3600.0,6.50E-04,,3600.0,4.20E-04,
640000,5,3600.0,6.15E-04,,3600.0,7.87E-04,,3600.0,4.62E-04,
810000,5,3600.0,7.09E-04,,3600.0,8.72E-04,,3600.0,5.04E-04,
1000000,5,3600.0,7.11E-04,,3600.0,9.34E-04,,3600.0,5.26E-04,
