TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
0,50,475.7,3.33e-02,2194,4.2,3600.0,9.35e-02,--,88.3,3600.0,1.30e-01,--,380.3,3600.0,5.02e-05,--,124.6
10,40,1750.6,3.33e-02,2629,1.3,3600.0,1.18e-01,--,6.9,3600.0,1.62e-01,--,6.0,3600.0,6.23e-05,--,1.0
300,40,1750.6,3.33e-02,2629,1.3,3600.0,1.18e-01,--,6.9,3600.0,1.62e-01,--,6.0,3600.0,6.23e-05,--,1.0
900,30,2554.5,3.33e-02,3026,0.9,3600.0,1.61e-01,--,1.3,3600.0,2.17e-01,--,3.8,3600.0,8.25e-05,--,0.8
1800,22,3176.7,3.33e-02,3256,0.7,3600.0,2.25e-01,--,0.9,3600.0,2.74e-01,--,3.1,3600.0,1.12e-04,--,0.7
2700,17,3589.9,3.33e-02,3240,0.5,3600.0,3.00e-01,--,0.8,3600.0,3.13e-01,--,2.7,3600.0,1.44e-04,--,0.7
