seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ONLY_SECANT_LineSearchIter,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_Primal,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_SmallestDualGap,LS_SECANT_WITH_BACKTRACKING_Iterations,LS_SECANT_WITH_BACKTRACKING_LineSearchIter,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_ADAPTIVE_LineSearchIter,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_Primal,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_SmallestDualGap,LS_BACKTRACKING_AND_SECANT_Iterations,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_Primal,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_AND_SECANT_Iterations,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_Primal,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_ZERO_AND_SECANT_Iterations,LS_SECANT_3_Time,LS_SECANT_3_Primal,LS_SECANT_3_DualGap,LS_SECANT_3_SmallestDualGap,LS_SECANT_3_Iterations,LS_SECANT_3_LineSearchIter,LS_SECANT_5_Time,LS_SECANT_5_Primal,LS_SECANT_5_DualGap,LS_SECANT_5_SmallestDualGap,LS_SECANT_5_Iterations,LS_SECANT_5_LineSearchIter,LS_SECANT_7_Time,LS_SECANT_7_Primal,LS_SECANT_7_DualGap,LS_SECANT_7_SmallestDualGap,LS_SECANT_7_Iterations,LS_SECANT_7_LineSearchIter,LS_SECANT_12_Time,LS_SECANT_12_Primal,LS_SECANT_12_DualGap,LS_SECANT_12_SmallestDualGap,LS_SECANT_12_Iterations,LS_SECANT_12_LineSearchIter,minimumTime
1,10000,148.01878276,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0.6744945567651635,131.39543493,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0.6744945567651635,214.211997616,0.31826945981170157,9.551744757640979e-8,9.551744757640979e-8,19530,0.15203031389216037,124.526965786,0.31826945972936194,9.894731055684614e-8,9.894731055684614e-8,12535,218.219106899,0.3182694597772662,1.0603608269904585e-7,9.929799804284101e-8,19786,175.975849872,0.31826945977102694,9.89930628962632e-8,9.89930628962632e-8,15647,148.977572171,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0.6744945567651635,130.321378996,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0.6744945567651635,127.318861485,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0.6744945567651635,126.562084577,0.318269459683937,9.804674533375746e-8,9.804674533375746e-8,12861,0.6744945567651635,124.526965786
2,10000,143.736459122,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0.6661427224143353,126.970655002,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0.6661427224143353,217.368332173,0.32098593176690626,1.0129831371982756e-7,9.66560176444975e-8,20371,0.15202984635020372,123.430408874,0.32098593159959093,9.694950843519567e-8,9.694950843519567e-8,13023,220.138625743,0.3209859317645216,9.595034085665977e-8,9.595034085665977e-8,20405,179.615457027,0.3209859316594151,1.0906589555798041e-7,9.778465640680745e-8,16117,145.145356905,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0.6661427224143353,126.381166295,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0.6661427224143353,123.321639605,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0.6661427224143353,122.875106603,0.3209859316459554,9.840522668599916e-8,9.840522668599916e-8,12725,0.6661427224143353,122.875106603
3,10000,142.510339462,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0.6874439096026759,126.566192792,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0.6874439096026759,190.21782744,0.31836327671668047,1.0170661608743803e-7,9.502336053776594e-8,18424,0.15202996092053842,121.893707501,0.31836327661539193,9.536429845108385e-8,9.536429845108385e-8,12484,203.664866389,0.31836327671520886,9.510178719876472e-8,9.510178719876472e-8,18442,162.585168721,0.3183632766822664,9.630964332985048e-8,9.630964333678937e-8,14566,144.437682147,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0.6874439096026759,125.520794978,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0.6874439096026759,124.40232748,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0.6874439096026759,121.429624759,0.3183632766354571,9.615937823781451e-8,9.615937823781451e-8,12258,0.6874439096026759,121.429624759
4,10000,119.347343976,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0.6675351260816971,107.162611307,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0.6675351260816971,181.293392103,0.31569086096282856,1.1423477854627384e-7,9.86905364444568e-8,18269,0.152006130603755,104.646682449,0.31569086084411485,9.790358534295107e-8,9.790358534295107e-8,10802,196.688153826,0.31569086097358307,1.1122603160024225e-7,9.792218475662695e-8,18241,154.702195613,0.3156908609405891,9.795093267386812e-8,9.795093268080701e-8,13979,119.928944992,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0.6675351260816971,105.406180255,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0.6675351260816971,102.038119055,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0.6675351260816971,102.31345109,0.3156908608401712,9.795090781528071e-8,9.795090781528071e-8,10748,0.6675351260816971,102.038119055
5,10000,129.520216782,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0.7050243111831445,117.937707344,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0.7050243111831445,199.759103949,0.31698352347783165,9.531251690675369e-8,9.531251690675369e-8,20590,0.15202292486279081,113.897612055,0.316983523282787,9.611154684618928e-8,9.611154684618928e-8,11732,220.988056151,0.31698352344669933,1.0047658025036377e-7,9.680284487195712e-8,20836,155.576639671,0.3169835233534324,9.73662085956839e-8,9.73662085956839e-8,14261,130.881391303,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0.7050243111831445,115.648990077,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0.7050243111831445,112.181377695,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0.7050243111831445,110.712424389,0.31698352329022333,9.926277645677661e-8,9.926277645677661e-8,11724,0.7050243111831445,110.712424389
1,40000,1147.322317548,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0.4689475963620615,1019.062643401,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0.4689475963620615,1809.034309864,0.3258873507458842,9.931058051609876e-8,9.931058051609876e-8,19597,0.15202082057562769,996.118422307,0.3258873504056966,9.912674974778268e-8,9.912674974778268e-8,11512,1988.419936878,0.3258873507458842,9.931058051609876e-8,9.931058051609876e-8,19597,1474.129064254,0.32588735019859677,9.698597913145035e-8,9.69859791349198e-8,15289,987.221681319,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0.4689475963620615,1038.019282482,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0.4689475963620615,996.762955619,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0.4689475963620615,985.986895037,0.32588735038511896,9.914502381233592e-8,9.914502381407064e-8,11546,0.4689475963620615,985.986895037
2,40000,1103.199853653,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0.4782878962791939,977.784085246,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0.4782878962791939,1742.731655363,0.32409598818344426,1.0386808571224981e-7,9.89520399785615e-8,18824,0.15203994900127496,1015.049331109,0.32409598762349107,9.953328368970948e-8,9.953328368970948e-8,11557,1890.32666303,0.3240959881834443,1.0386810271080515e-7,9.895204216431308e-8,18824,1456.8563011,0.3240959879776283,9.787628525020908e-8,9.787628525020908e-8,15309,948.692914657,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0.4782878962791939,1031.810378858,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0.4782878962791939,969.572950164,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0.4782878962791939,949.173832184,0.324095987788709,9.964939952887553e-8,9.96493995271408e-8,11262,0.4782878962791939,948.692914657
3,40000,1160.001639852,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0.48357119150348504,1027.309043109,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0.48357119150348504,1663.833303748,0.3255535399867815,1.0285107480099975e-7,9.783480945865786e-8,18527,0.15204836185027257,1079.644816543,0.32555353999219394,1.0466597511263331e-7,9.838049512718439e-8,11873,1780.743291343,0.32555354001578474,9.872946659522652e-8,9.872946659522652e-8,18426,1339.389596964,0.325553539854489,9.663338403943789e-8,9.663338403943789e-8,14420,998.85601151,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0.48357119150348504,1081.619526086,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0.48357119150348504,1015.172774919,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0.48357119150348504,996.790379561,0.3255535399403145,9.808741307723579e-8,9.808741307897051e-8,12053,0.48357119150348504,996.790379561
4,40000,1264.30092847,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0.49842295561197014,1121.541397656,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0.49842295561197014,1878.331853502,0.32474095643809253,9.6652750308443e-8,9.6652750308443e-8,20673,0.15204140866873064,1248.022166199,0.32474095576776335,9.845241523247228e-8,9.845241523247228e-8,13395,2047.45795245,0.32474095643809253,9.6652750308443e-8,9.6652750308443e-8,20673,1430.686048526,0.3247409561105292,9.801925766016184e-8,9.801925766016184e-8,15355,1088.069487846,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0.49842295561197014,1183.816409423,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0.49842295561197014,1103.184894568,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0.49842295561197014,1114.180437267,0.32474095592091506,9.923011569379359e-8,9.923011569379359e-8,13000,0.49842295561197014,1088.069487846
5,40000,1153.330995766,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0.4855781289189869,1013.303083228,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0.4855781289189869,1732.64408607,0.3252702115205063,9.702058865503072e-8,9.702058865503072e-8,19596,0.15202857871906097,1096.426812225,0.32527021102615933,9.904753560906199e-8,9.904753560906199e-8,11755,1912.955702603,0.3252702115077723,9.673564550435887e-8,9.673564550609359e-8,19635,1460.876073408,0.3252702112778105,9.97175756082408e-8,9.97175756082408e-8,15755,992.408474367,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0.4855781289189869,1084.225606914,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0.4855781289189869,995.442619572,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0.4855781289189869,1142.139997245,0.3252702109506886,9.971718569791455e-8,9.971718569791455e-8,11962,0.4855781289189869,992.408474367
