seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ONLY_SECANT_LineSearchIter,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_ADAPTIVE_LineSearchIter,LS_MONOTONIC_Time,LS_MONOTONIC_Primal,LS_MONOTONIC_DualGap,LS_MONOTONIC_SmallestDualGap,LS_MONOTONIC_Iterations,LS_AGNOSTIC_Time,LS_AGNOSTIC_Primal,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_SmallestDualGap,LS_AGNOSTIC_Iterations,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_Primal,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_SmallestDualGap,LS_ADAPTIVE_ZERO_Iterations,LS_BACKTRACKING_Time,LS_BACKTRACKING_Primal,LS_BACKTRACKING_DualGap,LS_BACKTRACKING_SmallestDualGap,LS_BACKTRACKING_Iterations,minimumTime
1,10000,3.222324358,1.2366628883435844,1.1233307887353883e-7,9.997003249523351e-8,2162,0.9990749306197966,3.653729693,1.2366628912801572,1.2156132752488835e-7,9.938850369095587e-8,2076,0.15221579961464354,3600.0,1.2366744441547537,1.3387286976689061e-5,1.3387286501548301e-5,6695367,3.47963123,1.236662887246552,1.3324808704334723e-7,9.926724897635353e-8,2616,3.203308657,1.2366628917819873,2.941467581313306e-7,9.968332029958171e-8,1977,1.382586029,1.2366628894075806,1.3731675325284742e-7,9.943078976143438e-8,3045,1.382586029
2,10000,0.006381295,1.1453847911626729,2.3817995742358988e-8,2.3817995721542307e-8,4,0.0,0.008417514,1.145384782870786,1.357421559877725e-8,1.3574215522449418e-8,4,0.0,0.015192144,1.1453848081949487,3.650623231488126e-8,7.416755438971467e-8,9,0.014654802,1.145384820814694,4.9941605781422815e-8,8.368878447878592e-8,8,0.006052396,1.1453847830817674,1.3831984384260476e-8,1.3831984307932643e-8,4,0.004022051,1.1453848161195688,4.8084645001833515e-8,4.808464508510024e-8,3,0.004022051
3,10000,0.010532474,1.151619813693555,2.295421056008884e-8,2.2954210511516582e-8,16,0.9333333333333331,0.019490504,1.1516198141321006,1.9457946344447752e-8,1.9457946344447752e-8,28,0.14814814814814814,3600.0,1.1516206706950352,1.9746380210058923e-6,1.974638029193787e-6,6840161,0.815385491,1.1516198751249647,8.203821481866935e-8,8.8328746553068e-8,1712,0.01799984,1.1516198118496568,1.8399859240403327e-8,1.8399859365303417e-8,28,4.642453169,1.1516198902253576,7.34970171896443e-7,9.390234127770736e-8,8209,0.010532474
4,10000,0.053174785,0.8282948091285759,2.048279021671373e-7,6.80753493298436e-8,74,0.8243243243243241,0.039412444,0.8282948031662449,8.843350839810027e-8,8.843350830095575e-8,45,0.1590909090909091,3255.779803681,0.8282947995948922,1.0000002467758229e-7,9.999998882431749e-8,4445890,55.790833512,0.8282948233137919,1.8618109490914359e-7,9.999875261179625e-8,82066,0.044739107,0.8282947671190005,2.174110937114282e-8,7.197226871424878e-8,53,2.666238431,0.8282947831135609,7.129230440716672e-8,7.129230438635004e-8,3690,0.039412444
5,10000,0.013591244,0.8882113337615954,2.9752709261587906e-8,2.975270921301565e-8,16,0.9333333333333331,0.038961568,0.8882113909764907,1.9273993484558716e-7,9.627886281282638e-8,21,0.14285714285714285,3600.0,0.8882121933715116,1.18377577849188e-6,1.183775776146534e-6,6054274,0.130935884,0.888211961823332,7.415014273707415e-5,9.970900981259856e-8,214,0.018237153,0.8882113306742928,5.368797077048848e-8,5.368797084681631e-8,21,5.424043188,0.8882113883536128,2.2642929928262667e-7,9.998184910542385e-8,7692,0.013591244
1,40000,5.971654786,0.9719550943975473,3.217253299533929e-8,3.217253298840039e-8,5,0.0,6.503493857,0.9719551071657536,4.9645028983580364e-8,4.964502902174428e-8,6,0.0,6.055677736,0.9719551314310452,6.60751840152185e-8,8.370163265963848e-8,17,7.85168073,0.9719551314310452,6.60751840152185e-8,8.370163265963848e-8,17,5.950015622,0.9719551071657536,4.9645028983580364e-8,4.964502902174428e-8,6,1.666593077,0.9719551071657536,4.9645028903783084e-8,4.964502891766087e-8,5,1.666593077
2,40000,10.776369067,0.881598519590196,7.459389193831267e-8,7.92353598115525e-8,29,0.9655172413793105,8.376462212,0.8815985179399917,4.7846460869693797e-8,4.784646085234656e-8,32,0.16129032258064516,3600.0,0.881601087316952,4.020401854328004e-6,4.020401084152414e-6,45954,129.551829333,0.8815985349054769,3.537921212267564e-6,9.778131583940142e-8,1559,5.815353599,0.8815985236653282,6.390315910459465e-8,6.390315917398359e-8,31,726.237793162,0.8815985176197199,2.0496685758375488e-8,9.73287383465582e-8,2541,5.815353599
3,40000,42.251432805,0.9154352580833213,1.0981956229810796e-7,9.508444906783375e-8,113,0.9823008849557522,91.003438748,0.9154352480092317,9.29288968935793e-8,9.292889699072382e-8,296,0.14915254237288136,3600.0,0.9154433327185353,8.649172957599094e-6,8.649174671627319e-6,46790,4.859542198,0.9154353017277215,2.885724173732826e-5,8.034527122433022e-8,39,19.179455763,0.915435253670226,1.403137983996272e-7,9.800016382427446e-8,103,4.791036282,0.9154352337468648,2.045850548207384e-7,9.17501166187995e-8,13,4.791036282
4,40000,561.391605284,0.8999787247904656,1.7374508556183832e-7,9.865152642701824e-8,1831,0.9994538503549975,396.471506794,0.8999787113874773,2.2602638368590666e-7,9.68738845495698e-8,1567,0.15188257817485643,3600.0,0.8999797127601674,1.3334474351298087e-6,1.331668864037322e-6,46285,407.035488831,0.8999787330166112,1.0750523830871384e-7,9.993138355701703e-8,5379,282.163391965,0.8999787312322437,2.607720920033696e-7,9.901618774205145e-8,1619,913.083136691,0.8999787165726185,1.226656129206527e-7,9.908990628373915e-8,3270,282.163391965
5,40000,6.635704276,0.9841336109296067,2.5922281181658957e-7,3.7163812659224416e-8,20,0.7999999999999998,7.291707901,0.9841335874579322,2.8057120179253436e-8,2.8057120172314542e-8,26,0.16,3600.0,0.9841347427601275,2.0866679082930106e-6,2.0866678096150004e-6,46077,1019.703336606,0.9841336111584308,6.465759725023112e-7,7.75878556819043e-8,13478,4.587706826,0.9841335870986451,7.003367980679132e-7,9.967160985099865e-8,24,344.767030405,0.9841336116027368,3.337516909264482e-7,8.892878968630447e-8,1484,4.587706826
