LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_DualGapSD,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_DualGapNotSolvedSD,LS_ONLY_SECANT_IterationsAll,LS_ONLY_SECANT_IterationsSolved,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_DualGapSD,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolved,LS_SECANT_WITH_BACKTRACKING_DualGapNotSolvedSD,LS_SECANT_WITH_BACKTRACKING_IterationsAll,LS_SECANT_WITH_BACKTRACKING_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_DualGapSD,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_DualGapNotSolvedSD,LS_ADAPTIVE_IterationsAll,LS_ADAPTIVE_IterationsSolved,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_DualGapSD,LS_BACKTRACKING_AND_SECANT_DualGapNotSolved,LS_BACKTRACKING_AND_SECANT_DualGapNotSolvedSD,LS_BACKTRACKING_AND_SECANT_IterationsAll,LS_BACKTRACKING_AND_SECANT_IterationsSolved,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_DualGapSD,LS_ADAPTIVE_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_AND_SECANT_IterationsAll,LS_ADAPTIVE_AND_SECANT_IterationsSolved,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapSD,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolved,LS_ADAPTIVE_ZERO_AND_SECANT_DualGapNotSolvedSD,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsAll,LS_ADAPTIVE_ZERO_AND_SECANT_IterationsSolved,LS_SECANT_3_Time,LS_SECANT_3_DualGap,LS_SECANT_3_DualGapSD,LS_SECANT_3_DualGapNotSolved,LS_SECANT_3_DualGapNotSolvedSD,LS_SECANT_3_IterationsAll,LS_SECANT_3_IterationsSolved,LS_SECANT_5_Time,LS_SECANT_5_DualGap,LS_SECANT_5_DualGapSD,LS_SECANT_5_DualGapNotSolved,LS_SECANT_5_DualGapNotSolvedSD,LS_SECANT_5_IterationsAll,LS_SECANT_5_IterationsSolved,LS_SECANT_7_Time,LS_SECANT_7_DualGap,LS_SECANT_7_DualGapSD,LS_SECANT_7_DualGapNotSolved,LS_SECANT_7_DualGapNotSolvedSD,LS_SECANT_7_IterationsAll,LS_SECANT_7_IterationsSolved,LS_SECANT_12_Time,LS_SECANT_12_DualGap,LS_SECANT_12_DualGapSD,LS_SECANT_12_DualGapNotSolved,LS_SECANT_12_DualGapNotSolvedSD,LS_SECANT_12_IterationsAll,LS_SECANT_12_IterationsSolved
0.27264276069646054,3.2526416872687256e-8,1.002450394037922,Inf,Inf,0.4,0.4,0.2944681787276686,3.2526416872687256e-8,1.002450394037922,Inf,Inf,0.4,0.4,0.2654652873930916,5.461518073356683e-8,1.0071636257237722,Inf,Inf,0.0,0.0,0.3043110612655373,3.643492116969217e-8,1.0358902237971679,Inf,Inf,0.4,0.4,0.2731969481702674,5.461518073356683e-8,1.0071636257237722,Inf,Inf,0.0,0.0,0.31521304373346526,3.715727990767116e-8,1.270241754398756,Inf,Inf,0.6,0.6,0.2622230377567718,3.2526416872687256e-8,1.002450394037922,Inf,Inf,0.4,0.4,0.3016067527769257,3.2526416872687256e-8,1.002450394037922,Inf,Inf,0.4,0.4,0.29338615376141886,3.2526416872687256e-8,1.002450394037922,Inf,Inf,0.4,0.4,0.30703045006347507,3.2526416872687256e-8,1.002450394037922,Inf,Inf,0.4,0.4
1.6440879820493324,3.1789940442953116e-8,1.0000518107617473,Inf,Inf,1.4,1.4,1.6648288079366118,3.1789940442953116e-8,1.0000518107617473,Inf,Inf,1.4,1.4,0.8586779771820181,5.3274334049976054e-8,1.0009238637523648,Inf,Inf,0.0,0.0,1.7488346054767776,2.6020201937461502e-8,1.024528482884994,Inf,Inf,1.4,1.4,7.515106326607263,5.3274334049976054e-8,1.0009238637523648,Inf,Inf,10.6,10.6,1.2203747461976162,3.912612121144861e-8,1.0011535934415325,Inf,Inf,0.6,0.6,1.6778484411657848,3.1789940442953116e-8,1.0000518107617473,Inf,Inf,1.4,1.4,1.6822204212505492,3.1789940442953116e-8,1.0000518107617473,Inf,Inf,1.4,1.4,1.6547570525631765,3.1789940442953116e-8,1.0000518107617473,Inf,Inf,1.4,1.4,1.7280145672371532,4.308044006810552e-8,1.0206929971912173,Inf,Inf,1.4,1.4
2.8056677511919452,2.9512385265641206e-8,1.2174625390942568,Inf,Inf,3.4,3.4,2.79414843458008,2.9512385282314202e-8,1.2174625388213667,Inf,Inf,4.2,4.2,2.070282864866568,4.765482808835784e-8,1.0008261079521497,Inf,Inf,4.4,4.4,10.716490443680753,3.928987826635005e-8,1.0123367758448207,Inf,Inf,10.0,10.0,11.545761689731188,4.765482808280639e-8,1.0008261079491532,Inf,Inf,15.8,15.8,3.3416234838826515,8.402517193453515e-8,1.098539913367003,Inf,Inf,6.8,6.8,2.461482811334168,2.9512385265641206e-8,1.2174625390942568,Inf,Inf,3.8,3.8,2.840190057097038,4.286615859830119e-8,1.079542420729341,Inf,Inf,4.0,4.0,2.2199742451524074,4.328962615286862e-8,1.0769404522803483,Inf,Inf,3.2,3.2,2.4508398857263973,2.9512385265632735e-8,1.2174625390943956,Inf,Inf,2.4,2.4
2.237614637021821,4.1846538736613106e-8,1.2377309277640591,Inf,Inf,2.2,2.2,2.1123630046886896,4.519480478436797e-8,1.0259046590330374,Inf,Inf,2.0,2.0,3.384708940446812,3.876283063562073e-8,1.061338881978719,Inf,Inf,4.4,4.4,12.835042351985164,1.1935406837131035e-7,1.9940114696469304,Inf,Inf,9.4,9.4,12.113576323094165,6.901557674233487e-8,1.2865682079723275,Inf,Inf,11.8,11.8,9.927315576826253,7.575177617670945e-8,1.038576150308178,Inf,Inf,8.4,8.4,1.5908924816587584,4.101267241140933e-8,1.2275823177433982,Inf,Inf,1.4,1.4,2.2495709794804544,3.2467986401495125e-8,1.1290094032517854,Inf,Inf,2.0,2.0,1.5678786091296768,4.4781385812939556e-8,1.0245743396846214,Inf,Inf,1.2,1.2,1.5113404119455773,4.983461265228029e-8,1.3384963483526564,Inf,Inf,0.8,0.8
6.352523976296543,3.9269570138493416e-8,1.0001317429968009,Inf,Inf,9.2,9.2,7.166382602495451,3.6843606269397356e-8,1.0002904133501447,Inf,Inf,10.2,10.2,17.03638021459633,3.8506198961875757e-8,1.0608426870990983,Inf,Inf,17.0,17.0,17.310501218201498,3.5621174646751234e-8,1.0002856025246591,Inf,Inf,13.2,13.2,38.072994998112215,3.8506198956329385e-8,1.0608426871323133,Inf,Inf,21.2,21.2,18.041770921063137,4.299831706242716e-8,1.0985316941906125,Inf,Inf,13.2,13.2,13.18449471280486,3.912379364462383e-8,1.0114817690149196,Inf,Inf,11.8,11.8,5.489505684550862,3.68436062638459e-8,1.0002904133524417,Inf,Inf,9.4,9.4,27.89552885350623,3.1850023141025203e-8,1.0016946541270029,Inf,Inf,14.8,14.8,5.992149018931962,3.926957013571684e-8,1.000131742996075,Inf,Inf,9.4,9.4
20.760227918596907,6.336085076464308e-8,1.3338430469527154,Inf,Inf,13.6,13.6,21.543988112638843,6.336085077294739e-8,1.3338430470366378,Inf,Inf,14.0,14.0,20.69765130199463,4.290966074449023e-8,1.006452252284258,Inf,Inf,17.8,17.8,34.84487150027925,5.1125367993188096e-8,1.2254313026734769,Inf,Inf,16.2,16.2,49.98020974398377,4.290966073340087e-8,1.0064522522443686,Inf,Inf,23.0,23.0,23.984668413579715,3.623854622501391e-8,1.0265171835987588,Inf,Inf,15.6,15.6,20.616423361970828,6.966013901767745e-8,1.0002628442893973,Inf,Inf,13.6,13.6,22.931418288046554,6.966013902322552e-8,1.0002628442905523,Inf,Inf,13.8,13.8,22.36308221582396,6.994100223135375e-8,1.0003244453742026,Inf,Inf,13.8,13.8,20.746440475058115,6.966013901767745e-8,1.0002628442893973,Inf,Inf,13.6,13.6
8.861103985240762,3.823364428360651e-8,1.0882674289862615,Inf,Inf,7.0,7.0,8.584023378701595,3.198955679940904e-8,1.1472055650599136,Inf,Inf,6.8,6.8,10.458916197912565,4.6310975281864175e-8,1.003455502851424,Inf,Inf,10.4,10.4,16.418077493832207,5.02020918565189e-8,1.0289880045315243,Inf,Inf,8.6,8.6,30.917855985735358,4.6310975281864175e-8,1.003455502851424,Inf,Inf,14.8,14.8,13.481597882642136,3.1673892722678136e-8,1.023154020187767,Inf,Inf,10.0,10.0,16.22161480473124,4.219984979659719e-8,1.062749996829236,Inf,Inf,8.6,8.6,8.297490622190768,4.825291103608953e-8,1.0354922695638895,Inf,Inf,6.4,6.4,7.8268992201245755,4.825291103608953e-8,1.0354922695638895,Inf,Inf,6.4,6.4,7.978677791236564,3.198955679940904e-8,1.1472055650599136,Inf,Inf,7.0,7.0
26.287304395760984,8.282523541226749e-8,1.0163648610087985,Inf,Inf,15.8,15.8,27.204405872935485,8.282523541226749e-8,1.0163648610087985,Inf,Inf,16.0,16.0,21.20640320558097,4.648124414208516e-8,1.002083448126003,Inf,Inf,17.2,17.2,30.633117512076893,7.6538832345112e-8,1.0499636729408546,Inf,Inf,16.2,16.2,47.39066095880825,4.6569122371399507e-8,1.0021614000079613,Inf,Inf,21.2,21.2,27.62866712719382,4.0487524862439556e-8,1.0315311233862248,Inf,Inf,15.8,15.8,25.38181796963782,8.566208507801119e-8,1.012701473703328,Inf,Inf,15.6,15.6,25.207012288180497,8.566208507801119e-8,1.012701473703328,Inf,Inf,15.6,15.6,29.192596191181703,8.919769627365013e-8,1.029816918278328,Inf,Inf,16.0,16.0,25.653896551193085,8.566208507801119e-8,1.012701473703328,Inf,Inf,15.6,15.6
17.21856734053849,5.0315873814051656e-8,1.0064455246800468,Inf,Inf,15.4,15.4,17.80443701317699,4.4087816664013676e-8,1.0195793910492779,Inf,Inf,15.8,15.8,16.800341092086132,4.1464738974583546e-8,1.0476108098441888,Inf,Inf,19.0,19.0,18.561097183678033,2.835713296866555e-8,1.2264408782812424,Inf,Inf,15.6,15.6,44.752499439770965,4.142137903047951e-8,1.0473996313133833,Inf,Inf,23.0,23.0,20.865728859830845,3.750026000256455e-8,1.8904877505050768,Inf,Inf,17.6,17.6,16.780263390962492,4.0332438167441044e-8,1.449603351002769,Inf,Inf,15.0,15.0,16.20380268896683,3.411056763246608e-8,1.3305458985580432,Inf,Inf,15.4,15.4,16.12670929069778,4.0332438167441044e-8,1.449603351002769,Inf,Inf,15.0,15.0,15.789686689491447,4.0332438167441044e-8,1.449603351002769,Inf,Inf,15.0,15.0
25.063161157097074,2.0236319656716042e-8,1.9323747748798161,Inf,Inf,15.4,15.4,25.820153080384184,1.8832599434896277e-8,1.836010919416787,Inf,Inf,15.8,15.8,26.009178496555815,6.258417324316041e-8,1.000107731245274,Inf,Inf,19.0,19.0,29.60320510291529,1.5169378481444173e-8,4.873639191459784,Inf,Inf,15.6,15.6,58.00949804940048,6.258417324316041e-8,1.000107731245274,Inf,Inf,22.8,22.8,31.97140857812181,1.110682828156703e-7,1.365758014824544,Inf,Inf,17.4,17.4,27.15252369177518,2.9998208413806076e-8,2.6525425988138887,Inf,Inf,16.0,16.0,23.428714081776427,2.0236319656721124e-8,1.93237476897309,Inf,Inf,15.0,15.0,23.421549934824203,2.0236319656721124e-8,1.93237476897309,Inf,Inf,14.8,14.8,30.948403740419455,2.9998208413806076e-8,2.6525425988138887,Inf,Inf,16.2,16.2
