TimeSlots,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ONLY_SECANT_IterTimeRatio,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_ADAPTIVE_IterTimeRatio,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved,LS_AGNOSTIC_IterTimeRatio,LS_BACKTRACKING_Time,LS_BACKTRACKING_DualGapNotSolved,LS_BACKTRACKING_IterationsSolved,LS_BACKTRACKING_IterTimeRatio
0,50,15.3,<1e-7,20,1.3,15.9,<1e-7,26,1.6,1227.7,4.35e-06,120361,33.4,13.9,<1e-7,34,2.4
10,30,30.5,<1e-7,22,0.7,29.4,<1e-7,27,0.9,2567.0,5.09e-06,711,2.4,24.3,<1e-7,37,1.5
300,0,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN
900,0,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN
1800,0,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN
2700,0,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN,Inf,<1e-7,--,NaN
