seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ONLY_SECANT_LineSearchIter,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_ADAPTIVE_LineSearchIter,LS_MONOTONIC_Time,LS_MONOTONIC_Primal,LS_MONOTONIC_DualGap,LS_MONOTONIC_SmallestDualGap,LS_MONOTONIC_Iterations,LS_AGNOSTIC_Time,LS_AGNOSTIC_Primal,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_SmallestDualGap,LS_AGNOSTIC_Iterations,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_Primal,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_SmallestDualGap,LS_ADAPTIVE_ZERO_Iterations,LS_GOLDEN_RATIO_Time,LS_GOLDEN_RATIO_Primal,LS_GOLDEN_RATIO_DualGap,LS_GOLDEN_RATIO_SmallestDualGap,LS_GOLDEN_RATIO_Iterations,LS_BACKTRACKING_Time,LS_BACKTRACKING_Primal,LS_BACKTRACKING_DualGap,LS_BACKTRACKING_SmallestDualGap,LS_BACKTRACKING_Iterations,minimumTime
1,100,0.173173291,0.4026686454106805,9.325385191827351e-8,8.664738213037815e-8,220,1.6272727272727274,0.249574215,0.4026686454107758,1.0191697993877646e-7,9.534009302869517e-8,520,0.12307692307692308,0.063196891,0.4026686454106249,1.295606320561582e-7,9.409884130229251e-8,198,2423.345101222,0.40266864541065034,1.0047503101739963e-7,9.999995351228641e-8,8340610,0.117302423,0.40266864541072883,1.1249437349702962e-7,9.253869212577648e-8,400,3600.0,0.402668657672766,8.705047421675438e-5,7.931692893300979e-5,1393417,0.100021764,0.40266864541059527,9.095547053028508e-8,9.826349264829837e-8,203,0.063196891
2,100,0.350651942,0.42480324566775196,1.2451358592791006e-7,9.396091850411015e-8,558,1.3207885304659497,0.516030567,0.42480324566797667,1.3682009472604229e-7,9.74839740458533e-8,1092,0.13736263736263737,0.109653388,0.42480324566753636,1.3182101528397272e-7,9.765493418079085e-8,328,3600.0,Inf,Inf,Inf,0,0.229982086,0.42480324566774136,9.809695837581511e-8,8.389791686380654e-8,800,3600.0,0.4248032572689187,8.530475699160267e-5,8.310922110729702e-5,1552243,0.146189522,0.42480324566747185,1.0115512151520623e-7,9.353381867638344e-8,299,0.109653388
3,100,0.214909437,0.4155899996888297,1.0569855857234245e-7,9.469403913775487e-8,301,1.6345514950166113,0.310731655,0.415589999688906,1.084426211883649e-7,8.897108423611133e-8,617,0.13290113452188007,0.068411253,0.41558999968854954,1.0152474194669026e-7,8.071938221998476e-8,213,3052.81565867,0.41558999968858246,9.440258683102165e-8,8.78744882276683e-8,10295496,0.137124456,0.41558999968874366,1.494090535320014e-7,9.015491649055907e-8,469,3600.0,0.4155900127442738,0.00010649114686060723,5.280037713897845e-5,1342958,0.118136797,0.4155899996886107,1.1060344583257997e-7,9.835147551928713e-8,220,0.068411253
4,100,0.179560661,0.3954930485852824,8.515019478405605e-8,8.865068584773539e-8,236,1.6186440677966103,0.25247396,0.3954930485854105,9.920093800575014e-8,9.931135326601837e-8,528,0.11931818181818182,0.056153289,0.39549304858523526,6.610184030697575e-8,7.58602679007403e-8,180,3373.659482929,0.3954930485852812,1.0827476615293818e-7,9.659715365095689e-8,9611056,0.10652211,0.39549304858535095,1.247103725843246e-7,9.66197707258365e-8,385,3600.0,0.3954930593204258,6.626138788454194e-5,8.806179914495893e-5,1429818,0.115414751,0.3954930485852403,9.08226630569331e-8,8.286222881459526e-8,199,0.056153289
5,100,0.186647115,0.4163912958190594,1.1298771403212005e-7,9.354798277683152e-8,213,1.6291079812206575,0.238455403,0.41639129581906764,1.0867941911685275e-7,9.919088313214974e-8,510,0.11372549019607843,0.061551015,0.41639129581900053,1.2704611448977055e-7,9.563178109128767e-8,191,2993.814166138,0.41639129581898726,9.97255073797998e-8,9.814465420920904e-8,10381541,0.105891321,0.41639129581905365,9.698919026246422e-8,9.512688052548679e-8,392,3600.0,0.4163913049207955,6.902331537683715e-5,7.24187390807457e-5,1667795,0.085350727,0.4163912958189676,8.215542512957086e-8,8.56227797135789e-8,175,0.061551015
1,200,1.166619042,0.3098154927830614,9.239038316344317e-8,9.508718366857405e-8,460,1.5543478260869565,1.18876344,0.30981549278326437,1.0254585178226527e-7,9.857134347646124e-8,834,0.1342925659472422,0.534121804,0.30981549278294424,9.36840963000618e-8,9.979811986526865e-8,394,3600.0,0.30981549278341736,2.3514041989913803e-7,2.1782264367220527e-7,4340829,0.674971043,0.30981549278314807,9.0684164899546e-8,9.882271249928021e-8,640,3600.0,0.30981550172237193,3.465931410072398e-5,8.304917343450458e-5,498342,0.670703641,0.30981549278295195,1.1363605315062308e-7,9.808588168069843e-8,354,0.534121804
2,200,1.049748962,0.31715082967965824,1.2172781892194617e-7,8.539536185125929e-8,406,1.5246305418719213,1.308671599,0.3171508296797969,1.2322210905801878e-7,9.742311524174596e-8,871,0.1354764638346728,0.396500587,0.31715082967949265,7.255565080688253e-8,7.605242022257208e-8,340,3600.0,0.31715082967992464,2.498596181760293e-7,2.4148986736693967e-7,4026244,0.526981887,0.3171508296796219,1.0225888762149804e-7,9.820046682762484e-8,500,3600.0,0.3171508474047843,7.06762310985487e-5,8.382261895686915e-5,486808,0.665856311,0.3171508296795072,9.33898392091459e-8,8.566522624597894e-8,363,0.396500587
3,200,0.86227565,0.3078332245945648,7.757546244269165e-8,9.554206310824487e-8,329,1.6261398176291793,1.207433833,0.307833224594736,9.779022716593921e-8,9.906662080949591e-8,670,0.12835820895522387,0.422321214,0.30783322459455364,9.316698885986074e-8,9.474952794574776e-8,293,3600.0,0.30783322459500684,2.3186101477667975e-7,2.1843862541004455e-7,4344685,0.765948988,0.30783322459462104,9.782519372336651e-8,9.203644039945669e-8,513,3600.0,0.3078332461069035,6.108623357736764e-5,8.243133350548104e-5,424911,0.600198526,0.3078332245945365,9.378935858506132e-8,9.511038299991892e-8,308,0.422321214
4,200,1.26899965,0.30838989145889334,1.1843842963321638e-7,9.477257394141514e-8,587,1.3867120954003407,1.755287893,0.3083898914591816,1.0885841154884002e-7,9.283710830643166e-8,1119,0.1385165326184093,0.545915227,0.3083898914585686,1.1046868099440221e-7,7.322394635078666e-8,446,3600.0,Inf,Inf,Inf,0,0.901732849,0.30838989145906065,9.398835723595234e-8,9.45720027151209e-8,879,3600.0,0.3083899355611621,0.00011533858103783545,0.00011568465836132857,416950,0.881077928,0.3083898914585411,8.258644450254149e-8,9.68972737602769e-8,423,0.545915227
5,200,1.297611849,0.31304425575239764,1.2745252626900072e-7,8.87548808059524e-8,511,1.4403131115459882,1.648356342,0.31304425575256134,9.750364547700396e-8,9.909278636532903e-8,1081,0.12858464384828863,0.536937113,0.31304425575219363,1.3239437915424368e-7,8.755520485015378e-8,458,3600.0,0.3130442557525645,2.208448124096929e-7,2.517915456690112e-7,4367204,0.859042516,0.3130442557523774,1.2053474460205216e-7,9.608082281176156e-8,810,3600.0,0.3130442828223039,8.899363801245785e-5,8.31038607903567e-5,593353,0.98324526,0.31304425575220884,1.2783013583761438e-7,9.667904629639956e-8,430,0.536937113
1,300,155.439429722,0.2658558800627739,1.0588004455830413e-7,9.509258385581587e-8,571,1.555166374781086,146.659433431,0.26585588006315963,1.1717492410384667e-7,9.62001819940217e-8,1289,0.13498836307214895,37.291445504,0.265855880062599,9.38885734991235e-8,9.531710434829144e-8,472,3600.0,0.2658558834202532,1.6325698851585302e-5,1.7240553069945708e-5,60078,109.611270749,0.2658558800629716,1.1586241566163835e-7,9.753138514867477e-8,984,3600.0,0.26585592141305725,7.167167948481101e-5,5.7815905394553724e-5,2947,82.383483716,0.2658558800626174,9.290548075302496e-8,9.705799314252417e-8,478,37.291445504
2,300,109.211452425,0.26675307026660194,9.062073833693285e-8,9.893531538462952e-8,501,1.6187624750499001,97.923310897,0.26675307026678413,9.959656139396644e-8,9.944766896780033e-8,988,0.13765182186234817,52.371352656,0.26675307026650136,7.574515251129732e-8,9.8005188360617e-8,429,3600.0,0.2667530749461834,2.386605466330599e-5,2.4454441053978204e-5,45093,83.559513976,0.2667530702666143,9.174571591330505e-8,9.468391579114943e-8,720,3600.0,0.26675311595074563,0.00016301488359742738,0.00015607470398721485,3110,73.747467911,0.2667530702665017,8.251426374117354e-8,8.49268598848707e-8,422,52.371352656
3,300,106.051581918,0.26508781300129625,8.741646549681459e-8,8.836476765583523e-8,487,1.6119096509240247,3.802592565,0.2650878130015423,1.0611273680571909e-7,9.94246015101341e-8,1035,0.13719806763285025,33.852888174,0.265087813001185,8.773893949570732e-8,8.725965020689452e-8,422,3600.0,0.26508781634199313,1.5411558533531822e-5,1.4591413451336965e-5,58779,57.087482071,0.26508781300135725,1.0414502066985465e-7,9.678782253441653e-8,703,3600.0,0.2650878277668532,4.5386462531007976e-5,8.954424943374839e-5,2210,135.599458109,0.26508781300119577,9.193692879910786e-8,9.562925661760202e-8,451,3.802592565
