Dimension,NumInstances,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_DualGapNotSolved,LS_ONLY_SECANT_IterationsSolved,LS_ADAPTIVE_Time,LS_ADAPTIVE_DualGapNotSolved,LS_ADAPTIVE_IterationsSolved,LS_AGNOSTIC_Time,LS_AGNOSTIC_DualGapNotSolved,LS_AGNOSTIC_IterationsSolved
10000,5,0.983,<1E-07,873,18.305,1.30E-01,2846,3600.0,3.14E+04,
40000,5,2502.322,1.29E-01,1900,3600.0,1.36E-01,,3600.0,4.81E+06,
90000,5,3600.0,1.34E-01,,3600.0,1.46E-01,,3600.0,5.40E+06,
160000,5,3600.0,1.37E-01,,3600.0,8.98E-01,,3600.0,1.35E+07,
250000,5,3600.0,9.59E-01,,3600.0,5.08E+00,,3600.0,2.92E+07,
360000,5,3600.0,2.73E+00,,3600.0,8.18E+00,,3600.0,2.95E+07,
490000,5,3600.0,4.87E+03,,3600.0,1.41E+04,,3600.0,2.10E+08,
640000,5,3600.0,1.64E+07,,3600.0,1.83E+07,,3600.0,1.29E+08,
810000,5,3600.0,1.32E+07,,3600.0,1.72E+07,,3600.0,1.47E+08,
1000000,5,3600.0,1.37E+07,,3600.0,1.11E+07,,3600.0,8.64E+07,
