criterion,seed,dimension,number_not_converging,fw_iterations,ratio,improvement_by_backtracking,max_violation
A,1,100,11,521,0.02111324376199616,0.0,0.005743217015788834
D,1,100,8,222,0.036036036036036036,0.0,0.03468373742691864
A,2,100,8,519,0.015414258188824663,0.0,0.009114691642618598
D,2,100,9,565,0.01592920353982301,0.0,0.06336051784465235
A,3,100,9,398,0.022613065326633167,0.0,0.009126692923949737
D,3,100,10,313,0.03194888178913738,0.0,0.0381852960503406
A,4,100,9,720,0.0125,0.0,0.00927533365185925
D,4,100,11,236,0.046610169491525424,0.0,0.05184225330048886
A,5,100,9,420,0.02142857142857143,0.0,0.007428091092567956
D,5,100,10,213,0.046948356807511735,0.0,0.07995757754340846
A,6,100,10,246,0.04065040650406504,0.0,0.010947761171867146
D,6,100,9,180,0.05,0.0,0.05368616078711659
A,7,100,9,457,0.019693654266958426,0.0,0.010248331480440968
D,7,100,7,235,0.029787234042553193,0.0,0.07168095023120138
A,8,100,12,441,0.027210884353741496,0.0,0.6305851148844807
D,8,100,11,299,0.03678929765886288,0.0,0.05353135868802125
A,9,100,8,258,0.031007751937984496,0.0,0.010592803553261504
D,9,100,7,285,0.02456140350877193,0.0,0.06646318182838565
A,10,100,12,600,0.02,0.0,0.0050456467332994775
D,10,100,11,185,0.05945945945945946,0.0,0.05729368673426033
A,1,200,12,802,0.014962593516209476,0.0,0.15953296917242182
D,1,200,10,589,0.01697792869269949,0.0,0.0586557023408292
A,2,200,17,984,0.017276422764227643,0.0,1353.8855692838863
D,2,200,16,749,0.021361815754339118,0.0,0.07029528574023186
A,3,200,18,866,0.020785219399538105,0.0,9.222827329959706
D,3,200,15,505,0.0297029702970297,0.0,0.044680374398989586
A,4,200,10,971,0.010298661174047374,0.0,0.00406730932928679
D,4,200,10,662,0.015105740181268883,0.0,0.04333937168274288
A,5,200,18,725,0.02482758620689655,0.0,0.08516919261648465
D,5,200,19,669,0.028400597907324365,0.0,0.055082082508419325
A,6,200,9,851,0.010575793184488837,0.0,0.002456047341367582
D,6,200,11,760,0.014473684210526316,0.0,0.03676918679313748
A,7,200,10,727,0.013755158184319119,0.0,0.06308491722524147
D,7,200,10,456,0.021929824561403508,0.0,0.06091726420217493
A,8,200,14,810,0.01728395061728395,0.0,0.05826961434418278
D,8,200,15,537,0.027932960893854747,0.0,0.0677130750908635
A,9,200,13,735,0.017687074829931974,0.0,0.11312873215437279
D,9,200,11,727,0.015130674002751032,0.0,0.03490204917515217
A,10,200,13,873,0.014891179839633447,0.0,411.2033742399906
D,10,200,12,589,0.02037351443123939,0.0,0.059708281255959283
A,1,300,24,1036,0.023166023166023165,0.0,68.16365734363413
D,1,300,20,821,0.024360535931790498,0.0,0.016872244840775374
A,2,300,13,1278,0.010172143974960876,0.0,1007.6664277319247
D,2,300,18,778,0.02313624678663239,0.0,0.025327607104131344
A,3,300,18,1050,0.017142857142857144,0.0,418.30781909001354
D,3,300,15,723,0.02074688796680498,0.0,0.03640124326730371
A,4,300,15,850,0.01764705882352941,0.0,13.763923869530894
D,4,300,13,720,0.018055555555555554,0.0,0.23389814270080406
A,5,300,22,1009,0.02180376610505451,0.0,63.61765373460345
D,5,300,19,892,0.021300448430493273,0.0,0.056314920959844486
A,6,300,22,1301,0.016910069177555727,0.0,58.23457369071767
D,6,300,19,981,0.019367991845056064,0.0,0.0369866665200964
A,7,300,19,1103,0.017225747960108794,0.0,73.87158162855214
D,7,300,20,832,0.02403846153846154,0.0,0.02816213240763568
A,8,300,27,1089,0.024793388429752067,0.0,197.1307725647337
D,8,300,22,696,0.031609195402298854,0.0,0.0435532210978882
A,9,300,21,1203,0.017456359102244388,0.0,813.2636849139185
D,9,300,17,1096,0.01551094890510949,0.0,0.051477624193610017
A,10,300,22,1027,0.021421616358325218,0.0,136.3570351037925
D,10,300,21,825,0.025454545454545455,0.0,0.05822894800523973
A,1,400,22,1382,0.015918958031837915,0.0,975.2184216783833
D,1,400,22,1136,0.01936619718309859,0.0,0.02919713373656682
A,2,400,31,1430,0.021678321678321677,0.0,1074.0270356311805
D,2,400,27,1084,0.024907749077490774,0.0,0.04864797151608649
A,3,400,27,1422,0.0189873417721519,0.0,35.48287331960415
D,3,400,25,1074,0.023277467411545624,0.0,0.04669834771620504
A,4,400,25,1344,0.018601190476190476,0.0,0.11369529667606765
D,4,400,20,1004,0.0199203187250996,0.0,0.04073686298173926
A,5,400,27,1464,0.018442622950819672,0.0,315.39794714275104
D,5,400,18,1230,0.014634146341463415,0.0,0.02149703979429489
A,6,400,21,1443,0.014553014553014554,0.0,24.777862837710078
D,6,400,21,1110,0.01891891891891892,0.0,0.02421701201938707
A,7,400,23,1544,0.014896373056994818,0.0,25.49764805914884
D,7,400,23,1200,0.019166666666666665,0.0,0.03949331443512927
A,8,400,28,1430,0.019580419580419582,0.0,83.9386530541218
D,8,400,28,1132,0.024734982332155476,0.0,0.03713016628550048
A,9,400,28,1465,0.01911262798634812,0.0,45.4537174182279
D,9,400,21,1171,0.017933390264730998,0.0,0.05044695484493955
A,10,400,26,1355,0.01918819188191882,0.0,352.1564520373071
D,10,400,21,950,0.022105263157894735,0.0,0.030177498323388827
A,1,500,20,1685,0.011869436201780416,0.0,238.94872373110073
D,1,500,22,1340,0.016417910447761194,0.0,0.0218662432476429
A,2,500,29,1660,0.01746987951807229,0.0,15.725495388224687
D,2,500,31,1350,0.022962962962962963,0.0,0.038084398884559625
A,3,500,39,1613,0.02417854928704278,0.0,311.6732540584027
D,3,500,30,1374,0.021834061135371178,0.0,0.02574321004278185
A,4,500,25,1551,0.016118633139909737,0.0,295.8931022427198
D,4,500,24,1374,0.017467248908296942,0.0,0.0217063415085912
A,5,500,27,1692,0.015957446808510637,0.0,74.66393214247886
D,5,500,28,1543,0.01814646791963707,0.0,0.02634643479312755
A,6,500,24,1724,0.013921113689095127,0.0,256.300816661462
D,6,500,24,1425,0.016842105263157894,0.0,0.032979449165984
A,7,500,26,1606,0.0161892901618929,0.0,1309.63303531922
D,7,500,26,1357,0.01915991156963891,0.0,0.025148200678496324
A,8,500,19,1748,0.010869565217391304,0.0,240.00773893554646
D,8,500,24,1506,0.01593625498007968,0.0,0.021615801272021756
