criterion,seed,dimension,number_not_converging,fw_iterations,ratio,improvement_by_backtracking,max_violation
A,1,100,11,521,0.02111324376199616,0.0,0.005743217015788834
D,1,100,8,222,0.036036036036036036,0.0,0.03468373742691864
A,2,100,8,519,0.015414258188824663,0.0,0.009114691642618598
D,2,100,9,565,0.01592920353982301,0.0,0.06336051784465235
A,3,100,9,398,0.022613065326633167,0.0,0.009126692923949737
D,3,100,10,313,0.03194888178913738,0.0,0.0381852960503406
A,4,100,9,720,0.0125,0.0,0.00927533365185925
D,4,100,11,236,0.046610169491525424,0.0,0.05184225330048886
A,5,100,9,420,0.02142857142857143,0.0,0.007428091092567956
D,5,100,10,213,0.046948356807511735,0.0,0.07995757754340846
A,6,100,10,246,0.04065040650406504,0.0,0.010947761171867146
D,6,100,9,180,0.05,0.0,0.05368616078711659
A,7,100,9,457,0.019693654266958426,0.0,0.010248331480440968
D,7,100,7,235,0.029787234042553193,0.0,0.07168095023120138
A,8,100,12,441,0.027210884353741496,0.0,0.6305851148844807
D,8,100,11,299,0.03678929765886288,0.0,0.05353135868802125
A,9,100,8,258,0.031007751937984496,0.0,0.010592803553261504
D,9,100,7,285,0.02456140350877193,0.0,0.06646318182838565
A,10,100,12,600,0.02,0.0,0.0050456467332994775
D,10,100,11,185,0.05945945945945946,0.0,0.05729368673426033
A,1,200,12,802,0.014962593516209476,0.0,0.15953296917242182
D,1,200,10,589,0.01697792869269949,0.0,0.0586557023408292
A,2,200,17,1024,0.0166015625,0.0,0.2785788578339834
D,2,200,16,749,0.021361815754339118,0.0,0.07029528574023186
A,3,200,19,743,0.02557200538358008,0.0,0.03801294337877865
D,3,200,15,505,0.0297029702970297,0.0,0.044680374398989586
A,4,200,10,971,0.010298661174047374,0.0,0.00406730932928679
D,4,200,10,662,0.015105740181268883,0.0,0.04333937168274288
A,5,200,17,711,0.02390998593530239,0.0,0.08528402721710189
D,5,200,19,669,0.028400597907324365,0.0,0.055082082508419325
A,6,200,9,851,0.010575793184488837,0.0,0.002456047341367582
D,6,200,11,760,0.014473684210526316,0.0,0.03676918679313748
A,7,200,10,745,0.013422818791946308,0.0,0.0631049770173496
D,7,200,10,456,0.021929824561403508,0.0,0.06091726420217493
A,8,200,14,801,0.017478152309612985,0.0,0.05827185953170222
D,8,200,15,537,0.027932960893854747,0.0,0.0677130750908635
A,9,200,13,735,0.017687074829931974,0.0,0.11313246891823839
D,9,200,11,727,0.015130674002751032,0.0,0.03490204917515217
A,10,200,13,854,0.01522248243559719,0.0,0.13234024584843918
D,10,200,12,589,0.02037351443123939,0.0,0.059708281255959283
A,1,300,27,1031,0.026188166828322017,0.0,0.08046238160956364
D,1,300,20,821,0.024360535931790498,0.0,0.016872244840775374
A,2,300,13,1264,0.010284810126582278,0.0,0.14726052377052645
D,2,300,18,778,0.02313624678663239,0.0,0.025327607104131344
A,3,300,17,1092,0.015567765567765568,0.0,0.10088283856512252
D,3,300,15,723,0.02074688796680498,0.0,0.03640124326730371
A,4,300,15,885,0.01694915254237288,0.0,0.02687965352631361
D,4,300,14,760,0.018421052631578946,0.0,0.062484978999870364
A,5,300,23,1035,0.022222222222222223,0.0,0.05098755517112444
D,5,300,19,892,0.021300448430493273,0.0,0.056314920959844486
A,6,300,22,1293,0.017014694508894045,0.0,0.06969957922233139
D,6,300,19,981,0.019367991845056064,0.0,0.0369866665200964
A,7,300,19,1175,0.016170212765957447,0.0,0.06630361923037581
D,7,300,20,832,0.02403846153846154,0.0,0.02816213240763568
A,8,300,27,1094,0.024680073126142597,0.0,0.5623483943494728
D,8,300,22,696,0.031609195402298854,0.0,0.0435532210978882
A,9,300,23,1286,0.017884914463452566,0.0,0.1562611631721461
D,9,300,17,1096,0.01551094890510949,0.0,0.051477624193610017
A,10,300,23,1016,0.022637795275590553,0.0,0.05412533914960109
D,10,300,21,825,0.025454545454545455,0.0,0.05822894800523973
A,1,400,25,1446,0.017289073305670817,0.0,0.12346189339395525
D,1,400,22,1136,0.01936619718309859,0.0,0.02919713373656682
A,2,400,32,1335,0.02397003745318352,0.0,0.2045086696051783
D,2,400,27,1084,0.024907749077490774,0.0,0.04864797151608649
A,3,400,28,1507,0.0185799601857996,0.0,0.05450195600171559
D,3,400,25,1074,0.023277467411545624,0.0,0.04669834771620504
A,4,400,26,1362,0.01908957415565345,0.0,0.20691890468272361
D,4,400,20,1004,0.0199203187250996,0.0,0.04073686298173926
A,5,400,27,1451,0.018607856650585803,2.0844098625748958e-5,0.1005975323385615
D,5,400,18,1230,0.014634146341463415,0.0,0.02149703979429489
A,6,400,20,1558,0.012836970474967908,0.0,0.03280890094438951
D,6,400,21,1110,0.01891891891891892,0.0,0.02421701201938707
A,7,400,24,1552,0.015463917525773196,0.0,0.04267190836983128
D,7,400,23,1200,0.019166666666666665,0.0,0.03949331443512927
A,8,400,29,1457,0.01990391214824983,0.0,0.06933787424628289
D,8,400,28,1132,0.024734982332155476,0.0,0.03713016628550048
A,9,400,29,1492,0.01943699731903485,0.0,0.04168669972562784
D,9,400,21,1171,0.017933390264730998,0.0,0.05044695484493955
A,10,400,27,1380,0.01956521739130435,0.0,0.07422148401179003
D,10,400,21,950,0.022105263157894735,0.0,0.030177498323388827
A,1,500,23,1684,0.013657957244655582,0.0,0.06635489710146776
D,1,500,22,1340,0.016417910447761194,0.0,0.0218662432476429
A,2,500,30,1666,0.01800720288115246,0.0,0.036827971456454625
D,2,500,31,1350,0.022962962962962963,0.0,0.038084398884559625
A,3,500,39,1662,0.023465703971119134,0.0,0.3882452802547563
D,3,500,30,1374,0.021834061135371178,0.0,0.02574321004278185
A,4,500,24,1621,0.014805675508945095,0.0,0.07254952874003774
D,4,500,24,1374,0.017467248908296942,0.0,0.0217063415085912
A,5,500,27,1713,0.01576182136602452,0.0,0.04804759282406614
D,5,500,28,1543,0.01814646791963707,0.0,0.02634643479312755
A,6,500,25,1707,0.014645577035735208,0.0,0.07033737352730102
D,6,500,24,1425,0.016842105263157894,0.0,0.032979449165984
A,7,500,26,1600,0.01625,0.0,0.21155310787342252
D,7,500,26,1357,0.01915991156963891,0.0,0.025148200678496324
A,8,500,21,1802,0.011653718091009988,0.0,0.07911284977390105
