criterion,seed,dimension,number_not_converging,fw_iterations,ratio,improvement_by_backtracking,max_violation
A,1,100,11,521,0.02111324376199616,0.0,0.005743217015788834
D,1,100,8,222,0.036036036036036036,0.0,0.03468373742691864
A,2,100,8,519,0.015414258188824663,0.0,0.009114691642618598
D,2,100,9,565,0.01592920353982301,0.0,0.06336051784465235
A,3,100,9,398,0.022613065326633167,0.0,0.009126692923949737
D,3,100,10,313,0.03194888178913738,0.0,0.0381852960503406
A,4,100,9,720,0.0125,0.0,0.00927533365185925
D,4,100,11,236,0.046610169491525424,0.0,0.05184225330048886
A,5,100,9,420,0.02142857142857143,0.0,0.007428091092567956
D,5,100,10,213,0.046948356807511735,0.0,0.07995757754340846
A,6,100,10,246,0.04065040650406504,0.0,0.010947761171867146
D,6,100,9,180,0.05,0.0,0.05368616078711659
A,7,100,9,457,0.019693654266958426,0.0,0.010248331480440968
D,7,100,7,235,0.029787234042553193,0.0,0.07168095023120138
A,8,100,12,441,0.027210884353741496,0.0,0.6305851148844807
D,8,100,11,299,0.03678929765886288,0.0,0.05353135868802125
A,9,100,8,258,0.031007751937984496,0.0,0.010592803553261504
D,9,100,7,285,0.02456140350877193,0.0,0.06646318182838565
A,10,100,12,600,0.02,0.0,0.0050456467332994775
D,10,100,11,185,0.05945945945945946,0.0,0.05729368673426033
A,1,200,12,802,0.014962593516209476,0.0,0.15953296917242182
D,1,200,10,589,0.01697792869269949,0.0,0.0586557023408292
A,2,200,17,1023,0.016617790811339198,0.0,0.2785788578339834
D,2,200,16,749,0.021361815754339118,0.0,0.07029528574023186
A,3,200,18,854,0.02107728337236534,0.0,4771.834342989301
D,3,200,15,505,0.0297029702970297,0.0,0.044680374398989586
A,4,200,10,971,0.010298661174047374,0.0,0.00406730932928679
D,4,200,10,662,0.015105740181268883,0.0,0.04333937168274288
A,5,200,17,733,0.023192360163710776,0.0,366.5999972601331
D,5,200,19,669,0.028400597907324365,0.0,0.055082082508419325
A,6,200,9,851,0.010575793184488837,0.0,0.002456047341367582
D,6,200,11,760,0.014473684210526316,0.0,0.03676918679313748
A,7,200,10,737,0.013568521031207599,0.0,1464.9632688403335
D,7,200,10,456,0.021929824561403508,0.0,0.06091726420217493
A,8,200,14,803,0.017434620174346202,0.0,9678.928402414836
D,8,200,15,537,0.027932960893854747,0.0,0.0677130750908635
A,9,200,13,735,0.017687074829931974,0.0,15095.05738822868
D,9,200,11,727,0.015130674002751032,0.0,0.03490204917515217
A,10,200,13,836,0.01555023923444976,0.0,35886.11147179795
D,10,200,12,589,0.02037351443123939,0.0,0.059708281255959283
A,1,300,26,1037,0.02507232401157184,0.0,511.04819532243056
D,1,300,20,821,0.024360535931790498,0.0,0.016872244840775374
A,2,300,13,1291,0.010069713400464756,0.0,172239.83106109322
D,2,300,18,778,0.02313624678663239,0.0,0.025327607104131344
A,3,300,17,1093,0.01555352241537054,0.0,4232.685055219354
D,3,300,15,723,0.02074688796680498,0.0,0.03640124326730371
A,4,300,15,855,0.017543859649122806,0.0,18.41577671359766
D,4,300,14,760,0.018421052631578946,0.0,0.057092449011379144
A,5,300,22,1048,0.02099236641221374,0.0,228.0675902724295
D,5,300,19,892,0.021300448430493273,0.0,0.056314920959844486
A,6,300,22,1340,0.016417910447761194,0.0,53085.75767052551
D,6,300,19,981,0.019367991845056064,0.0,0.0369866665200964
A,7,300,19,1164,0.01632302405498282,0.0,2757.0507458944267
D,7,300,20,832,0.02403846153846154,0.0,0.02816213240763568
A,8,300,26,1100,0.023636363636363636,0.0,1623.5930992630038
D,8,300,22,696,0.031609195402298854,0.0,0.0435532210978882
A,9,300,23,1270,0.01811023622047244,0.0,11837.32849250322
D,9,300,17,1096,0.01551094890510949,0.0,0.051477624193610017
A,10,300,22,1029,0.021379980563654033,0.0,663.7476605946806
D,10,300,21,825,0.025454545454545455,0.0,0.05822894800523973
A,1,400,23,1342,0.01713859910581222,0.0,0.12346189339395525
D,1,400,22,1136,0.01936619718309859,0.0,0.02919713373656682
A,2,400,31,1433,0.021632937892533146,0.0,38536.07873572235
D,2,400,27,1084,0.024907749077490774,0.0,0.04864797151608649
A,3,400,26,1423,0.018271257905832748,0.0,4976.271794062669
D,3,400,25,1074,0.023277467411545624,0.0,0.04669834771620504
A,4,400,24,1332,0.018018018018018018,0.0,0.2069180280960019
D,4,400,20,1004,0.0199203187250996,0.0,0.04073686298173926
A,5,400,26,1506,0.017264276228419653,0.0,0.1005975323385615
D,5,400,18,1230,0.014634146341463415,0.0,0.02149703979429489
A,6,400,20,1452,0.013774104683195593,0.0,155.74247561723166
D,6,400,21,1110,0.01891891891891892,0.0,0.02421701201938707
A,7,400,23,1564,0.014705882352941176,0.0,35449.12082538833
D,7,400,23,1200,0.019166666666666665,0.0,0.03949331443512927
A,8,400,31,1471,0.02107409925220938,0.0,1586.839916880616
D,8,400,28,1132,0.024734982332155476,0.0,0.03713016628550048
A,9,400,29,1506,0.019256308100929615,0.0,3905.1658421860866
D,9,400,21,1171,0.017933390264730998,0.0,0.05044695484493955
A,10,400,27,1425,0.018947368421052633,0.0,705.2729422636819
D,10,400,21,950,0.022105263157894735,0.0,0.030177498323388827
A,1,500,20,1686,0.011862396204033215,0.0,12862.146307248646
D,1,500,22,1340,0.016417910447761194,0.0,0.0218662432476429
A,2,500,30,1672,0.017942583732057416,0.0,0.036827971456454625
D,2,500,31,1350,0.022962962962962963,0.0,0.038084398884559625
A,3,500,39,1679,0.023228111971411555,0.0,2098.046255083622
D,3,500,30,1374,0.021834061135371178,0.0,0.02574321004278185
A,4,500,26,1507,0.017252820172528202,0.0,0.07254952874003774
D,4,500,24,1374,0.017467248908296942,0.0,0.0217063415085912
A,5,500,28,1762,0.015891032917139614,0.0,24983.73369107759
D,5,500,28,1543,0.01814646791963707,0.0,0.02634643479312755
A,6,500,24,1711,0.014026884862653419,0.0,4731.383242337882
D,6,500,24,1425,0.016842105263157894,0.0,0.032979449165984
A,7,500,26,1615,0.01609907120743034,0.0,0.1293151676343221
D,7,500,26,1357,0.01915991156963891,0.0,0.025148200678496324
A,8,500,19,1795,0.010584958217270195,0.0,0.07911284977390105
D,8,500,24,1506,0.01593625498007968,0.0,0.021615801272021756
