ls_iter termination
2.622350674373796 1.0
2.6524271844660197 2.0
2.7302504816955686 3.0
2.766599597585513 4.0
2.775510204081633 5.0
2.8869565217391306 6.0
2.9217391304347826 7.0
2.930803571428571 8.0
2.952272727272727 9.0
2.957494407158837 10.0
2.989528795811518 11.0
3.0056338028169014 12.0
3.0262467191601052 13.0
3.031496062992126 14.0
3.032727272727273 15.0
3.03943661971831 16.0
3.0406250000000004 17.0
3.04953560371517 18.0
3.0498687664041997 19.0
3.056338028169014 20.0
3.06269592476489 21.0
3.0681818181818183 22.0
3.0808823529411766 23.0
3.0823863636363633 24.0
3.090909090909091 25.0
3.0992647058823533 26.0
3.102803738317757 27.0
3.1111111111111107 28.0
3.1139705882352944 29.0
3.1256684491978612 30.0
3.1310344827586203 31.0
3.153846153846154 32.0
3.190140845070423 33.0
3.203125 34.0
3.2204724409448815 35.0
3.2411347517730498 36.0
3.244094488188976 37.0
3.25984251968504 38.0
3.2777777777777777 39.0
3.3093525179856114 40.0
