ls_iter no_instance
1.4364797728885734 1.0
1.4783950617283952 2.0
1.4907539118065434 3.0
1.5091174325309993 4.0
1.516690856313498 5.0
1.5315985130111525 6.0
1.559218559218559 7.0
1.5666666666666669 8.0
1.5671768707482991 9.0
1.6207906295754024 10.0
2.662650602409639 11.0
2.675247524752475 12.0
2.772819472616633 13.0
2.7858627858627862 14.0
2.787190082644628 15.0
2.9211136890951277 16.0
2.944055944055944 17.0
2.9511627906976745 18.0
2.955813953488372 19.0
2.974418604651163 20.0
2.9946949602122013 21.0
3.002808988764045 22.0
3.0238095238095237 23.0
3.032608695652174 24.0
3.034090909090909 25.0
3.037383177570093 26.0
3.042440318302387 27.0
3.04953560371517 28.0
3.0530503978779837 29.0
3.059659090909091 30.0
3.0625 31.0
3.0681818181818183 32.0
3.0875912408759127 33.0
3.09375 34.0
3.094827586206897 35.0
3.0999999999999996 36.0
3.1014492753623184 37.0
3.1180811808118083 38.0
3.12 39.0
3.128571428571429 40.0
3.134408602150538 41.0
3.1654676258992804 42.0
3.1798561151079134 43.0
3.208 44.0
3.225806451612903 45.0
3.2391304347826084 46.0
3.241935483870968 47.0
3.258064516129032 48.0
3.284552845528455 49.0
3.3014705882352944 50.0
