ls_iter no_instance
0.0 1.0
0.0 2.0
0.0 3.0
0.0 4.0
0.0 5.0
0.0 6.0
0.0 7.0
0.0 8.0
0.0 9.0
0.0 10.0
0.0 11.0
0.6666666666666665 12.0
0.6666666666666665 13.0
0.7142857142857144 14.0
0.7333333333333334 15.0
0.7391304347826089 16.0
0.75 17.0
0.75 18.0
0.7674418604651163 19.0
0.7999999999999998 20.0
0.8243243243243241 21.0
0.8333333333333335 22.0
0.8461538461538463 23.0
0.8571428571428572 24.0
0.8636363636363638 25.0
0.875 26.0
0.8888888888888888 27.0
0.9230769230769229 28.0
0.9333333333333331 29.0
0.9333333333333331 30.0
0.9473684210526314 31.0
0.9503105590062111 32.0
0.9512195121951219 33.0
0.9523809523809526 34.0
0.9523809523809526 35.0
0.9545454545454546 36.0
0.9583333333333335 37.0
0.9615384615384617 38.0
0.9637681159420288 39.0
0.9655172413793105 40.0
0.9696969696969697 41.0
0.9714285714285715 42.0
0.9823008849557522 43.0
0.9881656804733727 44.0
0.9885714285714284 45.0
0.9926470588235294 46.0
0.9945054945054945 47.0
0.9976359338061465 48.0
0.9990749306197966 49.0
0.9994538503549975 50.0
