time termination
0.006589228 1.0
0.013120118 2.0
0.032869313 3.0
0.0383696 4.0
2.197834956 5.0
2.237588955 6.0
2.575186344 7.0
3.096930286 8.0
3.491701272 9.0
4.02519495 10.0
6.59148537 11.0
6.771663406 12.0
7.431699656 13.0
7.965822462 14.0
8.319490442 15.0
8.917491768 16.0
9.906409112 17.0
11.631733938 18.0
13.681570351 19.0
14.998530809 20.0
15.491528469 21.0
16.41925089 22.0
29.408198679 23.0
30.349774658 24.0
32.854678379 25.0
38.887264545 26.0
40.315153178 27.0
44.907537356 28.0
45.343568987 29.0
57.951844436 30.0
69.530829985 31.0
81.808266555 32.0
90.295345432 33.0
95.475387575 34.0
115.088454021 35.0
171.735084862 36.0
173.047474864 37.0
178.271852439 38.0
224.394645507 39.0
239.442679383 40.0
239.715197657 41.0
332.075575743 42.0
396.163216369 43.0
419.718597406 44.0
482.216040295 45.0
742.843583101 46.0
2480.393772823 47.0
3146.74494088 48.0
3600.0 49.0
3600.0 50.0
