time termination
0.018018562 1.0
0.0385777 2.0
0.043453418 3.0
0.059461124 4.0
2.100890079 5.0
5.044276342 6.0
6.241519827 7.0
6.337175479 8.0
8.354427877 9.0
8.832950027 10.0
10.216924497 11.0
10.420895884 12.0
10.893002947 13.0
11.094281798 14.0
11.125468583 15.0
11.75060986 16.0
11.9770662 17.0
12.706408641 18.0
14.110966411 19.0
14.310149459 20.0
14.863514049 21.0
15.310650268 22.0
15.321840246 23.0
16.225842189 24.0
17.618340093 25.0
18.95218744 26.0
21.004411107 27.0
22.025604501 28.0
23.564150933 29.0
28.772460587 30.0
29.718438049 31.0
30.628618016 32.0
30.896979226 33.0
30.920344551 34.0
31.552273089 35.0
31.970018673 36.0
32.138999027 37.0
33.34186674 38.0
35.608519926 39.0
36.393647763 40.0
36.982195955 41.0
37.35194665 42.0
38.110104925 43.0
41.605496228 44.0
43.779940802 45.0
50.548326495 46.0
52.215776312 47.0
55.837739977 48.0
60.681136021 49.0
72.516409123 50.0
