ls_iter no_instance
0.39276739866710386 1.0
0.39988385598141685 2.0
0.4011658717541069 3.0
0.42337011033099303 4.0
0.4340636191278704 5.0
0.4689475963620615 6.0
0.4758448627806757 7.0
0.4782878962791939 8.0
0.48357119150348504 9.0
0.4855781289189869 10.0
0.49339207048458134 11.0
0.4951746323529411 12.0
0.49842295561197014 13.0
0.4988844265952701 14.0
0.5330661322645289 15.0
0.5432972522897583 16.0
0.5521285838401391 17.0
0.5540372670807452 18.0
0.5611927013796172 19.0
0.5623869801084993 20.0
0.6260043827611397 21.0
0.6297935103244838 22.0
0.6340718105423986 23.0
0.6399711399711401 24.0
0.6581593194122197 25.0
0.6661427224143353 26.0
0.6675351260816971 27.0
0.674145299145299 28.0
0.6744945567651635 29.0
0.6781002638522429 30.0
0.6789099526066349 31.0
0.679399727148704 32.0
0.6874439096026759 33.0
0.695887445887446 34.0
0.7049645390070922 35.0
0.7050243111831445 36.0
0.7069701280227596 37.0
0.7124260355029586 38.0
0.7171215880893302 39.0
0.7206703910614527 40.0
0.7231404958677685 41.0
0.732394366197183 42.0
0.7344398340248963 43.0
0.7380530973451327 44.0
0.7401032702237522 45.0
0.75 46.0
0.7648351648351648 47.0
0.7844827586206895 48.0
0.805491990846682 49.0
0.8083700440528636 50.0
