ls_iter termination
0.0 1.0
0.0 2.0
0.0 3.0
0.0 4.0
0.0 5.0
0.0 6.0
0.0 7.0
0.0 8.0
0.0 9.0
0.0 10.0
0.0 11.0
0.6666666666666665 12.0
0.7142857142857144 13.0
0.7333333333333334 14.0
0.75 15.0
0.75 16.0
0.8243243243243241 17.0
0.8333333333333335 18.0
0.8333333333333335 19.0
0.8333333333333335 20.0
0.8500000000000001 21.0
0.8571428571428572 22.0
0.8636363636363638 23.0
0.875 24.0
0.8888888888888888 25.0
0.8999999999999999 26.0
0.9090909090909092 27.0
0.9230769230769229 28.0
0.9333333333333331 29.0
0.9333333333333331 30.0
0.9375 31.0
0.9375 32.0
0.9523809523809526 33.0
0.9542857142857142 34.0
0.96 35.0
0.9615384615384617 36.0
0.9655172413793105 37.0
0.9696969696969697 38.0
0.9705882352941178 39.0
0.9705882352941178 40.0
0.9729729729729728 41.0
0.9777777777777779 42.0
0.9795918367346941 43.0
0.9881656804733727 44.0
0.9944903581267219 45.0
0.9952606635071088 46.0
0.9984802431610942 47.0
0.9990749306197966 48.0
0.999194847020934 49.0
0.9994541484716155 50.0
