time termination
102.038119055 1.0
112.181377695 2.0
123.321639605 3.0
124.40232748 4.0
127.318861485 5.0
969.572950164 6.0
995.442619572 7.0
996.762955619 8.0
1015.172774919 9.0
1103.184894568 10.0
2645.906647751 11.0
2811.178301053 12.0
2878.958192627 13.0
2971.366135469 14.0
3032.423566353 15.0
3600.0 16.0
3600.0 17.0
3600.0 18.0
3600.0 19.0
3600.0 20.0
3600.0 21.0
3600.0 22.0
3600.0 23.0
3600.0 24.0
3600.0 25.0
3600.0 26.0
3600.0 27.0
3600.0 28.0
3600.0 29.0
3600.0 30.0
3600.0 31.0
3600.0 32.0
3600.0 33.0
3600.0 34.0
3600.0 35.0
3600.0 36.0
3600.0 37.0
3600.0 38.0
3600.0 39.0
3600.0 40.0
3600.0 41.0
3600.0 42.0
3600.0 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
3600.0 47.0
3600.0 48.0
3600.0 49.0
3600.0 50.0
