time termination
0.019023054 1.0
0.025333032 2.0
0.043408752 3.0
0.07645674 4.0
2.326003001 5.0
4.814734053 6.0
4.818359687 7.0
8.240886444 8.0
8.34486273 9.0
9.821792885 10.0
9.86962683 11.0
10.420999384 12.0
10.868909387 13.0
11.498920099 14.0
11.538500927 15.0
11.912202857 16.0
12.912989899 17.0
13.526728112 18.0
14.481573823 19.0
15.099440786 20.0
15.310889115 21.0
16.358846944 22.0
16.411430237 23.0
17.593846733 24.0
19.546139737 25.0
20.453755365 26.0
21.250639471 27.0
21.991782894 28.0
25.353126181 29.0
30.484687274 30.0
30.605195614 31.0
30.817848972 32.0
31.092051056 33.0
31.641043266 34.0
32.66874246 35.0
32.782879496 36.0
33.935891394 37.0
34.778774558 38.0
35.235794127 39.0
35.45076114 40.0
37.482349308 41.0
37.976737842 42.0
38.30568579 43.0
40.08568621 44.0
42.756936474 45.0
48.0728397 46.0
49.119429076 47.0
54.45870948 48.0
59.563193257 49.0
69.612150386 50.0
