ls_iter termination
0.0 1.0
0.5 2.0
0.5 3.0
0.5 4.0
0.5 5.0
0.5384615384615383 6.0
0.5454545454545454 7.0
0.6666666666666665 8.0
0.8518518518518516 9.0
0.8947368421052633 10.0
0.9473684210526314 11.0
0.9563318777292578 12.0
0.96875 13.0
0.9761904761904763 14.0
0.9859154929577465 15.0
0.992957746478873 16.0
0.9959183673469387 17.0
0.9990774907749076 18.0
1.0 19.0
1.0 20.0
1.0 21.0
1.0 22.0
1.0 23.0
1.0 24.0
1.0 25.0
1.0 26.0
1.0 27.0
1.0 28.0
1.0 29.0
NaN 30.0
NaN 31.0
NaN 32.0
NaN 33.0
NaN 34.0
NaN 35.0
NaN 36.0
NaN 37.0
NaN 38.0
NaN 39.0
NaN 40.0
NaN 41.0
NaN 42.0
NaN 43.0
NaN 44.0
NaN 45.0
NaN 46.0
NaN 47.0
NaN 48.0
