time termination
0.006205525 1.0
0.010439244 2.0
0.012267245 3.0
0.049600996 4.0
1.514953973 5.0
1.562638731 6.0
2.24923755 7.0
3.009977204 8.0
3.363415116 9.0
3.42709626 10.0
3.47633306 11.0
5.211795738 12.0
6.403658414 13.0
6.503181657 14.0
7.339780979 15.0
7.78532258 16.0
8.299436803 17.0
8.324829314 18.0
8.725491304 19.0
9.683441549 20.0
12.576660426 21.0
12.606577338 22.0
13.315526837 23.0
18.774372433 24.0
22.671424277 25.0
25.722672515 26.0
32.419227736 27.0
36.479889515 28.0
36.993578859 29.0
39.264282684 30.0
55.937390387 31.0
66.184341629 32.0
83.459307229 33.0
88.150651386 34.0
100.366496878 35.0
117.725219104 36.0
133.591860542 37.0
186.592807929 38.0
206.107249446 39.0
206.655116049 40.0
251.92134438 41.0
298.067986459 42.0
417.078491515 43.0
463.423532999 44.0
490.282553255 45.0
496.214556427 46.0
1615.179652597 47.0
1872.402682764 48.0
3600.0 49.0
3600.0 50.0
