time termination
0.034684997 1.0
0.040172386 2.0
0.042889781 3.0
0.044723809 4.0
2.3353707 5.0
5.351761869 6.0
5.659286919 7.0
7.80948611 8.0
8.477010155 9.0
9.301106984 10.0
10.305635455 11.0
10.434465814 12.0
10.782972699 13.0
11.241006913 14.0
11.264383635 15.0
12.393012169 16.0
13.76238255 17.0
13.913716247 18.0
13.982842548 19.0
14.557573662 20.0
14.740878248 21.0
14.774661328 22.0
16.544026931 23.0
16.742423291 24.0
17.963658414 25.0
19.932676926 26.0
20.854540718 27.0
22.745975881 28.0
23.68395832 29.0
27.115588054 30.0
29.810865285 31.0
30.606993415 32.0
30.926084722 33.0
31.018588933 34.0
31.851880088 35.0
32.028080342 36.0
33.070908933 37.0
33.533795068 38.0
34.683096697 39.0
35.031923631 40.0
36.681995949 41.0
37.551832415 42.0
38.374245437 43.0
41.206242032 44.0
43.604370928 45.0
48.312027479 46.0
49.145331249 47.0
54.706804132 48.0
58.69597273 49.0
73.816263287 50.0
