ls_iter termination
-0.9570815450643777 1.0
-0.9207119741100325 2.0
-0.8399339933993399 3.0
-0.802615933412604 4.0
-0.75 5.0
-0.7127659574468086 6.0
-0.5349999999999999 7.0
0.8324324324324324 8.0
2.4623865110246435 9.0
2.713987473903966 10.0
2.7196467991169975 11.0
2.730065837600585 12.0
3.9694189602446484 13.0
4.003058103975535 14.0
4.015060240963855 15.0
4.131661442006269 16.0
4.316546762589928 17.0
4.328719723183391 18.0
4.352112676056338 19.0
4.363309352517986 20.0
4.551282051282051 21.0
4.672489082969432 22.0
4.675324675324675 23.0
4.676855895196507 24.0
4.740384615384615 25.0
4.78125 26.0
4.806763285024155 27.0
4.8201058201058204 28.0
4.822115384615385 29.0
4.827225130890052 30.0
4.841269841269841 31.0
4.87719298245614 32.0
4.970059880239521 33.0
4.978609625668449 34.0
5.018072289156627 35.0
5.035714285714286 36.0
5.078787878787879 37.0
5.1875 38.0
5.252631578947368 39.0
5.294736842105263 40.0
5.2976190476190474 41.0
5.340425531914893 42.0
5.369047619047619 43.0
5.445783132530121 44.0
5.560975609756097 45.0
