ls_iter no_instance
0.5 1.0
0.5 2.0
0.875 3.0
0.8947368421052633 4.0
0.8999999999999999 5.0
0.8999999999999999 6.0
0.8999999999999999 7.0
0.9090909090909092 8.0
0.9090909090909092 9.0
0.9090909090909092 10.0
0.9090909090909092 11.0
0.9090909090909092 12.0
0.9090909090909092 13.0
0.9166666666666665 14.0
0.9166666666666665 15.0
0.9166666666666665 16.0
0.9230769230769229 17.0
0.9285714285714284 18.0
0.9310344827586206 19.0
0.9333333333333331 20.0
0.9375 21.0
0.9444444444444446 22.0
0.9444444444444446 23.0
0.9444444444444446 24.0
0.9444444444444446 25.0
0.9444444444444446 26.0
0.9444444444444446 27.0
0.9444444444444446 28.0
0.9473684210526314 29.0
0.9473684210526314 30.0
0.9473684210526314 31.0
0.9500000000000002 32.0
0.9500000000000002 33.0
0.9500000000000002 34.0
0.9500000000000002 35.0
0.9523809523809526 36.0
0.9565217391304346 37.0
0.9583333333333335 38.0
0.9583333333333335 39.0
0.9583333333333335 40.0
0.96 41.0
0.9615384615384617 42.0
0.9615384615384617 43.0
0.9629629629629628 44.0
0.9642857142857144 45.0
0.9655172413793105 46.0
0.9655172413793105 47.0
0.9666666666666668 48.0
0.96875 49.0
0.96875 50.0
