time termination
0.007091598 1.0
0.018458134 2.0
0.019329036 3.0
0.03951762 4.0
2.110784191 5.0
3.456718612 6.0
3.857743234 7.0
4.487163445 8.0
4.83507679 9.0
4.992996967 10.0
8.479502776 11.0
9.799482666 12.0
12.350526854 13.0
12.902510526 14.0
13.665489993 15.0
13.861185639 16.0
14.83174604 17.0
15.095670056 18.0
15.719942443 19.0
16.175727567 20.0
17.763799618 21.0
28.179966211 22.0
28.575212289 23.0
30.471551867 24.0
34.003748309 25.0
36.175075092 26.0
36.807499476 27.0
44.079596538 28.0
63.127339431 29.0
92.578452145 30.0
101.460257581 31.0
137.141524156 32.0
143.417784647 33.0
177.782802816 34.0
180.195176413 35.0
199.207197459 36.0
212.942910796 37.0
283.023361341 38.0
307.483208924 39.0
336.463666142 40.0
336.826466403 41.0
426.426395597 42.0
503.666435681 43.0
542.110500518 44.0
731.919229727 45.0
865.103577298 46.0
2677.22961492 47.0
