time termination
0.018499722 1.0
0.02252438 2.0
0.045457801 3.0
0.058615522 4.0
2.299473394 5.0
5.167736714 6.0
5.515648772 7.0
5.981886479 8.0
8.116902397 9.0
8.924895642 10.0
10.377463923 11.0
10.622488202 12.0
10.952830718 13.0
11.30136 14.0
11.612908006 15.0
12.012988884 16.0
13.223053795 17.0
13.805467989 18.0
14.866756045 19.0
15.754899216 20.0
16.557603744 21.0
16.732277295 22.0
16.849897027 23.0
17.191253431 24.0
17.846866326 25.0
19.992988029 26.0
21.399976741 27.0
23.422876008 28.0
23.891852633 29.0
30.758567742 30.0
30.769924828 31.0
30.803989404 32.0
30.821465717 33.0
30.954228147 34.0
31.405955973 35.0
32.154470187 36.0
33.978059604 37.0
34.024334863 38.0
34.464529914 39.0
35.591766683 40.0
36.282902561 41.0
36.763524912 42.0
38.442565964 43.0
39.460297347 44.0
41.44813676 45.0
48.388120833 46.0
49.297883571 47.0
53.855129879 48.0
56.902988168 49.0
71.745224742 50.0
