ls_iter termination
2.6456692913385824 1.0
2.675944333996024 2.0
2.76056338028169 3.0
2.7676767676767673 4.0
2.8 5.0
2.8975501113585747 6.0
2.932279909706546 7.0
2.9382151029748282 8.0
2.947488584474886 9.0
2.968036529680365 10.0
2.983050847457627 11.0
2.9947089947089944 12.0
3.0028011204481793 13.0
3.0214477211796247 14.0
3.028409090909091 15.0
3.04 16.0
3.047021943573668 17.0
3.04953560371517 18.0
3.0498442367601246 19.0
3.0568181818181817 20.0
3.0589812332439674 21.0
3.06551724137931 22.0
3.0681818181818183 23.0
3.0763888888888893 24.0
3.09375 25.0
3.094827586206897 26.0
3.0996884735202492 27.0
3.1010452961672472 28.0
3.1215277777777777 29.0
3.1277173913043477 30.0
3.13986013986014 31.0
3.13986013986014 32.0
3.1818181818181817 33.0
3.1904761904761907 34.0
3.21259842519685 35.0
3.2340425531914896 36.0
3.2421875 37.0
3.246031746031746 38.0
3.2640000000000002 39.0
3.3093525179856114 40.0
