time termination
0.045583659 1.0
0.069423027 2.0
0.071814575 3.0
0.072187151 4.0
2.344836274 5.0
7.717081432 6.0
11.426433753 7.0
15.973540773 8.0
18.859845279 9.0
20.384159176 10.0
20.766545472 11.0
20.883712202 12.0
21.149125271 13.0
21.191212335 14.0
21.813766077 15.0
22.045877774 16.0
22.923837899 17.0
23.241020253 18.0
23.634279305 19.0
23.725472454 20.0
23.98893417 21.0
26.381851532 22.0
28.997546168 23.0
29.706048825 24.0
34.387788975 25.0
38.17620883 26.0
41.531055212 27.0
42.539882262 28.0
44.935423614 29.0
46.89210811 30.0
47.901713719 31.0
48.700161618 32.0
48.782501945 33.0
51.770222132 34.0
52.562029891 35.0
52.664370878 36.0
52.928397213 37.0
53.098776153 38.0
58.117656636 39.0
65.09198359 40.0
70.257833068 41.0
70.952422006 42.0
71.397052124 43.0
74.661677304 44.0
75.329651645 45.0
76.430122527 46.0
81.053370237 47.0
95.215075644 48.0
100.567124992 49.0
132.76445651 50.0
