time termination
0.003407479 1.0
0.00349168 2.0
0.003681936 3.0
0.005213671 4.0
0.360415399 5.0
0.408392184 6.0
0.876356468 7.0
0.908341021 8.0
1.081839498 9.0
1.101741562 10.0
1.129734178 11.0
1.296464079 12.0
1.344367676 13.0
1.354960764 14.0
1.969272899 15.0
2.020278769 16.0
2.752414456 17.0
2.948445122 18.0
3.004435673 19.0
3.040366051 20.0
3.280414102 21.0
4.552383162 22.0
8.546505005 23.0
15.372374253 24.0
16.500365318 25.0
18.172415559 26.0
22.01634612 27.0
23.636329553 28.0
27.873640912 29.0
28.62040206 30.0
42.504386951 31.0
48.104521278 32.0
64.828299844 33.0
86.533749737 34.0
123.372375748 35.0
126.784337217 36.0
155.136378087 37.0
170.512419691 38.0
194.520568204 39.0
252.724429481 40.0
277.944442032 41.0
365.876534658 42.0
383.156378016 43.0
390.784486067 44.0
412.352534133 45.0
440.136321392 46.0
1406.768387328 47.0
1479.52437398 48.0
3574.692396142 49.0
