time termination
0.003829322 1.0
0.0039939 2.0
0.004831946 3.0
0.005261301 4.0
0.28837695 5.0
0.288391053 6.0
0.288397809 7.0
0.380388154 8.0
0.640425072 9.0
0.750948375 10.0
0.994939006 11.0
1.104558496 12.0
1.120435182 13.0
1.135021582 14.0
1.368384862 15.0
1.768409674 16.0
2.159632883 17.0
2.368384597 18.0
2.824448221 19.0
2.904466343 20.0
3.080432654 21.0
4.736428898 22.0
8.520459254 23.0
15.156506439 24.0
18.124542667 25.0
19.900456397 26.0
26.108376783 27.0
29.244468801 28.0
33.089677362 29.0
41.948085466 30.0
45.212541759 31.0
48.268456575 32.0
67.948610226 33.0
76.04839224 34.0
85.344394034 35.0
121.532666191 36.0
158.852379579 37.0
160.288533565 38.0
171.32048939 39.0
173.100499776 40.0
185.880445916 41.0
249.376449659 42.0
354.624539508 43.0
383.244563845 44.0
400.4004869 45.0
409.856393752 46.0
1382.804562149 47.0
1424.876331041 48.0
3467.448452809 49.0
