time termination
0.00299893 1.0
0.003309939 2.0
0.004410181 3.0
0.030268045 4.0
0.288431787 5.0
0.304409758 6.0
0.80041601 7.0
0.851027566 8.0
0.852374332 9.0
0.864389088 10.0
1.124429837 11.0
1.134952246 12.0
1.188427793 13.0
1.216405079 14.0
1.416387008 15.0
1.472343095 16.0
1.894949505 17.0
2.072430725 18.0
2.972435369 19.0
3.11251486 20.0
3.2964715 21.0
3.960439605 22.0
4.284368438 23.0
15.328388781 24.0
21.496416759 25.0
22.533791019 26.0
26.892460639 27.0
29.627803536 28.0
31.968377775 29.0
32.380412276 30.0
35.356472386 31.0
58.844509545 32.0
64.512499865 33.0
73.000430482 34.0
75.508543774 35.0
111.572439101 36.0
117.964613952 37.0
133.428444468 38.0
172.48865241 39.0
173.712414031 40.0
248.892390019 41.0
252.932461877 42.0
342.456523129 43.0
351.156541452 44.0
391.848597789 45.0
500.816395607 46.0
1389.64047498 47.0
1891.884588374 48.0
