time termination
0.238455403 1.0
0.249574215 2.0
0.25247396 3.0
0.310731655 4.0
0.516030567 5.0
1.18876344 6.0
1.207433833 7.0
1.308671599 8.0
1.648356342 9.0
1.755287893 10.0
3.802592565 11.0
3.91401283 12.0
97.923310897 13.0
146.659433431 14.0
244.93131477 15.0
313.163178481 16.0
323.975120666 17.0
383.443066963 18.0
393.47242855 19.0
420.314665091 20.0
487.706267726 21.0
514.8307384 22.0
515.845932104 23.0
536.326476335 24.0
765.166069334 25.0
863.513522208 26.0
883.497866079 27.0
934.869930896 28.0
1144.24566238 29.0
1264.883047831 30.0
1277.473399356 31.0
1423.93181942 32.0
1518.823091127 33.0
1821.717087053 34.0
1936.086081222 35.0
2053.02828326 36.0
2223.840711465 37.0
2247.420682358 38.0
2516.436620658 39.0
2706.465440762 40.0
2893.914128586 41.0
2960.140293485 42.0
3241.424097604 43.0
3600.0 44.0
3600.0 45.0
3600.0 46.0
