time termination
0.003173635 1.0
0.003408248 2.0
0.004632082 3.0
0.132346012 4.0
0.476496333 5.0
0.512393888 6.0
0.576204967 7.0
0.840647848 8.0
1.212464107 9.0
1.328880775 10.0
1.360527515 11.0
1.428363205 12.0
1.915362633 13.0
1.948437699 14.0
2.312632927 15.0
2.554969893 16.0
2.699337208 17.0
2.772495003 18.0
2.816459668 19.0
2.83259773 20.0
3.292803552 21.0
3.972401305 22.0
4.864361642 23.0
5.540572245 24.0
5.648784701 25.0
7.055872576 26.0
9.955299802 27.0
10.490033992 28.0
12.072940877 29.0
18.213036786 30.0
18.943495997 31.0
18.944727306 32.0
19.165274227 33.0
19.254900023 34.0
19.482115571 35.0
19.872415212 36.0
21.296449159 37.0
21.432651309 38.0
21.840632128 39.0
22.801579519 40.0
23.839685327 41.0
24.024890176 42.0
25.356047057 43.0
30.861517085 44.0
30.91153772 45.0
36.005218631 46.0
37.646708132 47.0
45.869499157 48.0
50.795170216 49.0
62.788053394 50.0
