ls_iter termination
0.1111111111111111 1.0
0.1111111111111111 2.0
0.125 3.0
0.13043478260869565 4.0
0.13043478260869565 5.0
0.13636363636363635 6.0
0.13636363636363635 7.0
0.13793103448275862 8.0
0.13793103448275862 9.0
0.13793103448275862 10.0
0.14285714285714285 11.0
0.14285714285714285 12.0
0.14285714285714285 13.0
0.14705882352941177 14.0
0.14814814814814814 15.0
0.14814814814814814 16.0
0.15 17.0
0.15 18.0
0.15 19.0
0.15 20.0
0.15 21.0
0.15 22.0
0.15151515151515152 23.0
0.15151515151515152 24.0
0.15384615384615385 25.0
0.15384615384615385 26.0
0.15625 27.0
0.15625 28.0
0.16 29.0
0.16 30.0
0.16 31.0
0.16 32.0
0.16 33.0
0.16129032258064516 34.0
0.16129032258064516 35.0
0.16129032258064516 36.0
0.16129032258064516 37.0
0.16129032258064516 38.0
0.16216216216216217 39.0
0.16666666666666666 40.0
0.16666666666666666 41.0
0.16666666666666666 42.0
0.16666666666666666 43.0
0.16666666666666666 44.0
0.16666666666666666 45.0
0.16666666666666666 46.0
0.16666666666666666 47.0
0.1724137931034483 48.0
0.18181818181818182 49.0
0.18181818181818182 50.0
