ls_iter no_instance
-2.0 1.0
1.4506842850401132 2.0
1.5062047569803516 3.0
1.5167407407407407 4.0
1.5170906200317966 5.0
1.5366218236173395 6.0
1.5557626592109353 7.0
1.5742018981880932 8.0
1.5768656716417913 9.0
1.579313543599258 10.0
1.5896069287141907 11.0
1.5917225950782998 12.0
1.5963987703118137 13.0
1.5978745286253 14.0
1.5983313468414782 15.0
1.5991486342674706 16.0
1.6012195121951218 17.0
1.610381488430269 18.0
1.6159145711333105 19.0
1.6164948453608248 20.0
1.6345733041575494 21.0
1.64260686755431 22.0
1.6502222222222223 23.0
1.6527777777777777 24.0
1.658125915080527 25.0
1.6615136876006442 26.0
1.696715049656226 27.0
1.7002257336343116 28.0
1.7041619797525311 29.0
1.7138364779874213 30.0
1.7277701778385772 31.0
1.7282463186077646 32.0
1.7424942263279446 33.0
1.7437125748502993 34.0
1.7564683053040104 35.0
1.7579250720461097 36.0
1.773071104387292 37.0
1.8075328265376642 38.0
2.140195621797857 39.0
2.158956692913386 40.0
2.250171821305842 41.0
2.294692737430168 42.0
2.6832548755884327 43.0
2.7506775067750677 44.0
2.80370942812983 45.0
2.8236151603498545 46.0
3.002497918401332 47.0
3.046425255338904 48.0
3.1175942549371634 49.0
3.1655813953488376 50.0
