time termination
0.006451715 1.0
0.011994253 2.0
0.013788821 3.0
0.056111143 4.0
1.962632953 5.0
2.121844054 6.0
2.538663583 7.0
3.260217639 8.0
3.435583515 9.0
3.919176631 10.0
4.040258346 11.0
5.343560052 12.0
5.483675095 13.0
5.549566854 14.0
7.480043401 15.0
7.487709954 16.0
7.515511641 17.0
7.747484401 18.0
8.093474227 19.0
8.596319485 20.0
12.906593816 21.0
14.21659096 22.0
15.952612795 23.0
21.348232914 24.0
29.635357353 25.0
32.446742495 26.0
35.12823928 27.0
36.979465045 28.0
45.061154141 29.0
55.773019135 30.0
66.13076092 31.0
70.603998913 32.0
85.240140165 33.0
90.251239678 34.0
101.955453259 35.0
112.514118645 36.0
155.311768072 37.0
157.287132735 38.0
172.227414005 39.0
227.89486344 40.0
237.28497378 41.0
319.31214766 42.0
408.490615138 43.0
425.003554289 44.0
682.931454415 45.0
928.115879309 46.0
1978.760040755 47.0
2099.810681481 48.0
3600.0 49.0
3600.0 50.0
